group,n_subjects,n_records,n_epochs,median_epochs_per_record,min_epochs_per_record,max_epochs_per_record,n_common_channels,median_sfreq,median_epoch_len_sec,group_ru
Control,72,356,16470,46.0,44,73,58.0,500.0,4.0,Контроль
TBI,89,199,22863,115.0,57,181,58.0,500.0,4.0,ЧМТ
