group,n_records,median_p2p_uv,median_p95_p2p_uv,median_prop_bad_epochs,max_prop_bad_epochs
Control,363,62.553292082156986,94.00390899827472,0.0,0.1379310344827586
TBI,212,66.78482077404624,102.24268780802956,0.0,0.0909090909090909
