group,qc_pass_cleaning,n_subjects,n_records,n_epochs,median_epochs,min_epochs,max_epochs,median_bad_channels,max_bad_channels,median_removed_ica,max_removed_ica,median_prop_rejected_ar,max_prop_rejected_ar
Control,False,1,1,13,13.0,13,13,8.0,8,7.0,7,0.717391304347826,0.717391304347826
Control,True,72,363,16387,45.0,29,69,5.0,16,7.0,18,0.0,0.3555555555555555
