model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,balanced_accuracy,0.7330917874396135,0.6687564607271905,0.8022604030104561,0.733 [0.669; 0.802]
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,sensitivity,0.7717391304347826,0.6842105263157895,0.8584142939592151,0.772 [0.684; 0.858]
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,specificity,0.6944444444444444,0.5920913639733135,0.8,0.694 [0.592; 0.800]
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,precision,0.7634408602150538,0.6781609195402298,0.8476242236024845,0.763 [0.678; 0.848]
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,npv,0.704225352112676,0.5921052631578947,0.803030303030303,0.704 [0.592; 0.803]
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,f1,0.7675675675675676,0.6976744186046512,0.8325084602368865,0.768 [0.698; 0.833]
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,mcc,0.4669243051214712,0.33715200065381,0.6086233496810305,0.467 [0.337; 0.609]
rf,Случайный лес,10,aper,cv_oof_topk_train_only,roc_auc,0.7749094202898551,0.7025992509363296,0.844221111024345,0.775 [0.703; 0.844]
rf,Случайный лес,10,aper,cv_oof_topk_train_only,pr_auc,0.809693061047438,0.7242618726022038,0.8839518349714777,0.810 [0.724; 0.884]
rf,Случайный лес,10,aper,cv_oof_topk_train_only,accuracy,0.7012195121951219,0.6339939024390244,0.774390243902439,0.701 [0.634; 0.774]
rf,Случайный лес,10,aper,cv_oof_topk_train_only,balanced_accuracy,0.697463768115942,0.6267193925123932,0.7685945799916312,0.697 [0.627; 0.769]
rf,Случайный лес,10,aper,cv_oof_topk_train_only,sensitivity,0.7282608695652174,0.6320630585898709,0.8173295454545453,0.728 [0.632; 0.817]
rf,Случайный лес,10,aper,cv_oof_topk_train_only,specificity,0.6666666666666666,0.555518018018018,0.7792255538579068,0.667 [0.556; 0.779]
rf,Случайный лес,10,aper,cv_oof_topk_train_only,precision,0.7362637362637363,0.6404494382022472,0.8279723502304147,0.736 [0.640; 0.828]
rf,Случайный лес,10,aper,cv_oof_topk_train_only,npv,0.6575342465753424,0.5394736842105263,0.7605791465209164,0.658 [0.539; 0.761]
rf,Случайный лес,10,aper,cv_oof_topk_train_only,f1,0.73224043715847,0.6540460094844113,0.8020833333333334,0.732 [0.654; 0.802]
rf,Случайный лес,10,aper,cv_oof_topk_train_only,mcc,0.3943623551199114,0.2518350403760737,0.5385412810550633,0.394 [0.252; 0.539]
svc_rbf,SVM с RBF-ядром,10,aper,cv_oof_topk_train_only,roc_auc,0.7732487922705314,0.7014915429741012,0.8461996132678863,0.773 [0.701; 0.846]
svc_rbf,SVM с RBF-ядром,10,aper,cv_oof_topk_train_only,pr_auc,0.7934996636545848,0.7037973563426543,0.8829817984832452,0.793 [0.704; 0.883]
