block,block_ru,n_features,mean_abs_g,median_abs_g,max_abs_g,mean_missing
event,Транзиентные события,14,0.9298066043591726,0.7287135678949381,2.3302479574189605,0.0
spec_shape,Форма спектра,15,0.8119538636065723,0.8410157663110321,1.045041959178796,0.0
dfa,DFA,10,0.5877480710114021,0.5672526970639233,1.0969821672769275,0.0
aper,Апериодический компонент,31,0.5237938480574232,0.41239588356601803,1.1420608092640874,0.0
alpha_peak,Альфа-пик,15,0.4473491277395642,0.42146700720865066,0.7342473181696393,0.0
burst,Burst-активность,40,0.39454677239472635,0.34095729310297573,0.9997637822086023,0.0
conn,Функциональная связность,172,0.33626124744419933,0.24806144808854141,1.3512420460605923,0.0
