model,model_ru,metric,diff_event_minus_baseline,ci_low,ci_high,p_boot_two_sided
logreg,Логистическая регрессия,roc_auc,0.14522946859903385,0.0824614415671632,0.21680267589014418,0.0
logreg,Логистическая регрессия,balanced_accuracy,0.16334541062801922,0.08556841491720545,0.24493981655242336,0.0
logreg,Логистическая регрессия,brier_score_negative,0.11924100599999203,0.07524302201928154,0.16453498907588246,0.0
rf,Случайный лес,roc_auc,0.16983695652173914,0.1008362002738437,0.2377313034126218,0.0
rf,Случайный лес,balanced_accuracy,0.19504830917874394,0.11869973542457989,0.26854383786571134,0.0
rf,Случайный лес,brier_score_negative,0.12922491787185827,0.088312124501328,0.16588248211970283,0.0
svc_rbf,SVM с RBF-ядром,roc_auc,0.18357487922705318,0.10784697308152245,0.26383205933427445,0.0
svc_rbf,SVM с RBF-ядром,balanced_accuracy,0.24516908212560384,0.1580401110440921,0.3279382202146564,0.0
svc_rbf,SVM с RBF-ядром,brier_score_negative,0.14195642205269043,0.10116709966524762,0.1798514545811802,0.0
