metric,mean,std
roc_auc,0.9738799777220829,0.027986302268395633
balanced_accuracy,0.9262105263157895,0.04433946901256621
accuracy,0.9240340909090909,0.04586037316427208
f1,0.9295093872269793,0.04437810469093869
