model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
svc_rbf,SVM с RBF-ядром,14,event,cv_oof,pr_auc,0.9858310918441333,0.9701101764913834,0.9964930505675172,0.986 [0.970; 0.996]
svc_rbf,SVM с RBF-ядром,14,event,cv_oof,accuracy,0.9451219512195121,0.9024390243902439,0.975609756097561,0.945 [0.902; 0.976]
svc_rbf,SVM с RBF-ядром,14,event,cv_oof,balanced_accuracy,0.9450483091787439,0.9035170117558152,0.9772298657773861,0.945 [0.904; 0.977]
svc_rbf,SVM с RBF-ядром,14,event,cv_oof,sensitivity,0.9456521739130435,0.8924731182795699,0.9891304347826086,0.946 [0.892; 0.989]
svc_rbf,SVM с RBF-ядром,14,event,cv_oof,specificity,0.9444444444444444,0.8840579710144928,0.9875,0.944 [0.884; 0.988]
svc_rbf,SVM с RBF-ядром,14,event,cv_oof,precision,0.9560439560439561,0.9081632653061225,0.9900990099009901,0.956 [0.908; 0.990]
svc_rbf,SVM с RBF-ядром,14,event,cv_oof,npv,0.9315068493150684,0.8630008561643836,0.9859154929577465,0.932 [0.863; 0.986]
svc_rbf,SVM с RBF-ядром,14,event,cv_oof,f1,0.9508196721311475,0.9124945175438596,0.9801980198019802,0.951 [0.912; 0.980]
svc_rbf,SVM с RBF-ядром,14,event,cv_oof,mcc,0.8888228003772927,0.8035886764217297,0.9515203510686345,0.889 [0.804; 0.952]
svc_rbf,SVM с RBF-ядром,14,event,holdout,roc_auc,0.9285714285714286,0.8270676691729324,0.9925925925925926,0.929 [0.827; 0.993]
svc_rbf,SVM с RBF-ядром,14,event,holdout,pr_auc,0.9485420214531237,0.8637862554112554,0.9960536962250099,0.949 [0.864; 0.996]
svc_rbf,SVM с RBF-ядром,14,event,holdout,accuracy,0.8484848484848485,0.7272727272727273,0.9696969696969697,0.848 [0.727; 0.970]
svc_rbf,SVM с RBF-ядром,14,event,holdout,balanced_accuracy,0.8402255639097744,0.6992301525873508,0.9615384615384616,0.840 [0.699; 0.962]
svc_rbf,SVM с RBF-ядром,14,event,holdout,sensitivity,0.8947368421052632,0.7368421052631579,1.0,0.895 [0.737; 1.000]
svc_rbf,SVM с RBF-ядром,14,event,holdout,specificity,0.7857142857142857,0.5384615384615384,1.0,0.786 [0.538; 1.000]
svc_rbf,SVM с RBF-ядром,14,event,holdout,precision,0.85,0.6666666666666666,1.0,0.850 [0.667; 1.000]
svc_rbf,SVM с RBF-ядром,14,event,holdout,npv,0.8461538461538461,0.6153846153846154,1.0,0.846 [0.615; 1.000]
svc_rbf,SVM с RBF-ядром,14,event,holdout,f1,0.8717948717948718,0.7333333333333333,0.9714285714285714,0.872 [0.733; 0.971]
svc_rbf,SVM с RBF-ядром,14,event,holdout,mcc,0.6882577059149438,0.40987872061240227,0.9354143466934854,0.688 [0.410; 0.935]
