_group_pretty,n_subjects,n_records,n_epochs_sum,n_epochs_median,n_epochs_q1,n_epochs_q3,file_size_mb_median,file_size_mb_q1,file_size_mb_q3,n_channels_median,sfreq_median,epoch_len_median
Контроль,72,363,16387,45.0,45.0,46.0,19.923,19.923,20.365,58.0,500.0,4.0
ЧМТ,92,212,23832,114.0,111.0,116.0,50.457,49.129,51.342,58.0,500.0,4.0
