validation,model,model_ru,feature_set,n_features,accuracy,balanced_accuracy,f1,mcc,pr_auc,roc_auc,sensitivity,specificity
cv_oof,logreg,Логистическая регрессия,event,14,0.927 [0.878; 0.963],0.930 [0.886; 0.966],0.933 [0.888; 0.968],0.855 [0.768; 0.928],0.978 [0.958; 0.993],0.964 [0.929; 0.990],0.902 [0.833; 0.958],0.958 [0.908; 1.000]
cv_oof,rf,Случайный лес,event,14,0.939 [0.896; 0.976],0.940 [0.899; 0.976],0.945 [0.907; 0.978],0.877 [0.794; 0.951],0.985 [0.967; 0.997],0.980 [0.960; 0.995],0.935 [0.880; 0.980],0.944 [0.889; 0.987]
cv_oof,svc_rbf,SVM с RBF-ядром,event,14,0.945 [0.902; 0.976],0.945 [0.904; 0.977],0.951 [0.912; 0.980],0.889 [0.804; 0.952],0.986 [0.970; 0.996],0.982 [0.964; 0.995],0.946 [0.892; 0.989],0.944 [0.884; 0.988]
holdout,logreg,Логистическая регрессия,event,14,0.818 [0.667; 0.939],0.823 [0.681; 0.944],0.833 [0.681; 0.947],0.639 [0.359; 0.881],0.934 [0.838; 0.990],0.883 [0.736; 0.985],0.789 [0.583; 0.950],0.857 [0.643; 1.000]
holdout,rf,Случайный лес,event,14,0.848 [0.727; 0.970],0.850 [0.716; 0.969],0.865 [0.727; 0.970],0.694 [0.422; 0.938],0.924 [0.801; 1.000],0.902 [0.767; 1.000],0.842 [0.650; 1.000],0.857 [0.643; 1.000]
holdout,svc_rbf,SVM с RBF-ядром,event,14,0.848 [0.727; 0.970],0.840 [0.699; 0.962],0.872 [0.733; 0.971],0.688 [0.410; 0.935],0.949 [0.864; 0.996],0.929 [0.827; 0.993],0.895 [0.737; 1.000],0.786 [0.538; 1.000]
