validation,validation_ru,model,model_ru,spectral_n_features,spectral_roc_auc,spectral_balanced_accuracy,event_n_features,event_roc_auc,event_balanced_accuracy,event_sensitivity,event_specificity,full_n_features,full_roc_auc,full_balanced_accuracy,delta_event_minus_spectral_roc_auc,delta_event_minus_spectral_balanced_accuracy,event_passes_auc_085,event_passes_balanced_accuracy_080,event_ge_spectral_auc,event_ge_spectral_balanced_accuracy
cv_oof,CV/OOF,logreg,Логистическая регрессия,61,0.8310688405797101,0.7653985507246377,2,0.9762983091787439,0.9287439613526569,0.9130434782608695,0.9444444444444444,302,0.9873188405797102,0.938707729468599,0.14522946859903385,0.16334541062801922,True,True,True,True
cv_oof,CV/OOF,rf,Случайный лес,61,0.8121980676328503,0.75,2,0.9820350241545894,0.9450483091787439,0.9456521739130435,0.9444444444444444,302,0.9969806763285024,0.9752415458937198,0.16983695652173914,0.19504830917874394,True,True,True,True
cv_oof,CV/OOF,svc_rbf,SVM с RBF-ядром,61,0.7933272946859903,0.6998792270531401,2,0.9769021739130435,0.9450483091787439,0.9456521739130435,0.9444444444444444,302,0.987469806763285,0.9435386473429952,0.18357487922705318,0.24516908212560384,True,True,True,True
holdout,Отложенная выборка,logreg,Логистическая регрессия,61,0.8834586466165414,0.8402255639097744,2,0.8609022556390977,0.8233082706766917,0.7894736842105263,0.8571428571428571,302,1.0,0.9473684210526316,-0.022556390977443663,-0.016917293233082775,True,True,False,False
holdout,Отложенная выборка,rf,Случайный лес,61,0.8721804511278196,0.7969924812030075,2,0.9154135338345863,0.849624060150376,0.8421052631578947,0.8571428571428571,302,0.9924812030075189,0.9022556390977443,0.043233082706766734,0.052631578947368474,True,True,True,True
holdout,Отложенная выборка,svc_rbf,SVM с RBF-ядром,61,0.8045112781954887,0.7161654135338347,2,0.8721804511278195,0.849624060150376,0.8421052631578947,0.8571428571428571,302,0.9924812030075189,0.9379699248120301,0.06766917293233077,0.13345864661654128,True,True,True,True
