source_table,validation,model,model_ru,feature_set,n_features,accuracy,balanced_accuracy,f1,mcc,pr_auc,roc_auc,sensitivity,specificity
holdout_block_metrics_long_df,holdout,logreg,Логистическая регрессия,dfa,10.0,0.758 [0.606; 0.909],0.742 [0.583; 0.893],0.800 [0.629; 0.919],0.498 [0.173; 0.793],0.862 [0.702; 0.967],0.801 [0.631; 0.945],0.842 [0.667; 1.000],0.643 [0.364; 0.882]
holdout_block_metrics_long_df,holdout,logreg,Логистическая регрессия,event,14.0,0.818 [0.667; 0.939],0.823 [0.681; 0.944],0.833 [0.681; 0.947],0.639 [0.359; 0.881],0.934 [0.838; 0.990],0.883 [0.736; 0.985],0.789 [0.583; 0.950],0.857 [0.643; 1.000]
holdout_block_metrics_long_df,holdout,logreg,Логистическая регрессия,spec_shape,15.0,0.727 [0.576; 0.879],0.735 [0.569; 0.878],0.743 [0.552; 0.882],0.465 [0.139; 0.746],0.793 [0.607; 0.957],0.756 [0.574; 0.914],0.684 [0.471; 0.889],0.786 [0.538; 1.000]
holdout_block_metrics_long_df,holdout,logreg,Логистическая регрессия,spectral_baseline,61.0,0.848 [0.727; 0.970],0.840 [0.705; 0.962],0.872 [0.743; 0.971],0.688 [0.422; 0.935],0.919 [0.794; 0.993],0.883 [0.744; 0.989],0.895 [0.737; 1.000],0.786 [0.538; 1.000]
holdout_block_metrics_long_df,holdout,logreg,Логистическая регрессия,tfr,5.0,0.697 [0.545; 0.848],0.690 [0.521; 0.846],0.737 [0.555; 0.875],0.380 [0.037; 0.692],0.835 [0.655; 0.959],0.782 [0.593; 0.921],0.737 [0.526; 0.923],0.643 [0.364; 0.889]
holdout_block_metrics_long_df,holdout,rf,Случайный лес,alpha_peak,15.0,0.727 [0.576; 0.879],0.716 [0.548; 0.869],0.769 [0.600; 0.900],0.437 [0.097; 0.745],0.883 [0.740; 0.974],0.831 [0.669; 0.952],0.789 [0.588; 0.950],0.643 [0.368; 0.900]
holdout_block_metrics_long_df,holdout,rf,Случайный лес,aper,31.0,0.788 [0.636; 0.909],0.788 [0.636; 0.925],0.811 [0.649; 0.930],0.571 [0.271; 0.831],0.890 [0.764; 0.975],0.835 [0.681; 0.956],0.789 [0.600; 0.950],0.786 [0.538; 1.000]
holdout_block_metrics_long_df,holdout,rf,Случайный лес,burst,40.0,0.758 [0.606; 0.879],0.733 [0.577; 0.875],0.810 [0.649; 0.920],0.501 [0.173; 0.764],0.874 [0.716; 0.983],0.846 [0.686; 0.967],0.895 [0.733; 1.000],0.571 [0.294; 0.833]
holdout_block_metrics_long_df,holdout,rf,Случайный лес,conn,172.0,0.970 [0.909; 1.000],0.964 [0.875; 1.000],0.974 [0.909; 1.000],0.939 [0.810; 1.000],0.954 [0.837; 1.000],0.955 [0.838; 1.000],1.000 [1.000; 1.000],0.929 [0.750; 1.000]
holdout_block_metrics_long_df,holdout,rf,Случайный лес,dfa,10.0,0.667 [0.515; 0.818],0.635 [0.477; 0.786],0.744 [0.571; 0.875],0.300 [-0.050; 0.620],0.645 [0.453; 0.904],0.647 [0.426; 0.853],0.842 [0.667; 1.000],0.429 [0.176; 0.714]
holdout_block_metrics_long_df,holdout,rf,Случайный лес,event,14.0,0.848 [0.727; 0.970],0.850 [0.716; 0.969],0.865 [0.727; 0.970],0.694 [0.422; 0.938],0.924 [0.801; 1.000],0.902 [0.767; 1.000],0.842 [0.650; 1.000],0.857 [0.643; 1.000]
holdout_block_metrics_long_df,holdout,rf,Случайный лес,spec_shape,15.0,0.727 [0.576; 0.879],0.744 [0.594; 0.877],0.727 [0.529; 0.875],0.489 [0.184; 0.753],0.874 [0.729; 0.975],0.827 [0.681; 0.954],0.632 [0.412; 0.842],0.857 [0.643; 1.000]
holdout_block_metrics_long_df,holdout,rf,Случайный лес,spectral_baseline,61.0,0.788 [0.636; 0.909],0.797 [0.646; 0.925],0.800 [0.632; 0.927],0.587 [0.286; 0.831],0.921 [0.823; 0.984],0.872 [0.738; 0.968],0.737 [0.529; 0.917],0.857 [0.666; 1.000]
holdout_block_metrics_long_df,holdout,rf,Случайный лес,tfr,5.0,0.788 [0.636; 0.909],0.788 [0.633; 0.912],0.811 [0.645; 0.927],0.571 [0.260; 0.819],0.883 [0.724; 0.990],0.868 [0.707; 0.982],0.789 [0.600; 0.950],0.786 [0.538; 1.000]
holdout_block_metrics_long_df,holdout,svc_rbf,SVM с RBF-ядром,alpha_peak,15.0,0.697 [0.545; 0.848],0.671 [0.517; 0.827],0.762 [0.600; 0.889],0.368 [0.040; 0.686],0.908 [0.794; 0.978],0.846 [0.696; 0.957],0.842 [0.667; 1.000],0.500 [0.231; 0.786]
holdout_block_metrics_long_df,holdout,svc_rbf,SVM с RBF-ядром,aper,31.0,0.727 [0.576; 0.879],0.716 [0.545; 0.864],0.769 [0.605; 0.895],0.437 [0.093; 0.735],0.893 [0.768; 0.973],0.831 [0.673; 0.954],0.789 [0.600; 0.950],0.643 [0.385; 0.900]
holdout_block_metrics_long_df,holdout,svc_rbf,SVM с RBF-ядром,burst,40.0,0.727 [0.576; 0.879],0.688 [0.550; 0.828],0.800 [0.649; 0.917],0.454 [0.134; 0.715],0.925 [0.824; 0.987],0.883 [0.758; 0.977],0.947 [0.818; 1.000],0.429 [0.167; 0.700]
holdout_block_metrics_long_df,holdout,svc_rbf,SVM с RBF-ядром,conn,172.0,0.939 [0.848; 1.000],0.938 [0.841; 1.000],0.947 [0.857; 1.000],0.876 [0.694; 1.000],0.987 [0.952; 1.000],0.981 [0.936; 1.000],0.947 [0.818; 1.000],0.929 [0.769; 1.000]
holdout_block_metrics_long_df,holdout,svc_rbf,SVM с RBF-ядром,dfa,10.0,0.667 [0.515; 0.818],0.645 [0.479; 0.806],0.732 [0.545; 0.868],0.303 [-0.043; 0.620],0.801 [0.622; 0.957],0.763 [0.568; 0.923],0.789 [0.579; 0.952],0.500 [0.250; 0.769]
holdout_block_metrics_long_df,holdout,svc_rbf,SVM с RBF-ядром,event,14.0,0.848 [0.727; 0.970],0.840 [0.699; 0.962],0.872 [0.733; 0.971],0.688 [0.410; 0.935],0.949 [0.864; 0.996],0.929 [0.827; 0.993],0.895 [0.737; 1.000],0.786 [0.538; 1.000]
holdout_block_metrics_long_df,holdout,svc_rbf,SVM с RBF-ядром,spec_shape,15.0,0.697 [0.545; 0.848],0.699 [0.531; 0.859],0.722 [0.529; 0.870],0.394 [0.058; 0.707],0.841 [0.686; 0.950],0.707 [0.504; 0.890],0.684 [0.471; 0.889],0.714 [0.454; 0.933]
holdout_block_metrics_long_df,holdout,svc_rbf,SVM с RBF-ядром,spectral_baseline,61.0,0.727 [0.576; 0.879],0.716 [0.545; 0.864],0.769 [0.595; 0.898],0.437 [0.092; 0.722],0.881 [0.750; 0.966],0.805 [0.632; 0.938],0.789 [0.579; 0.950],0.643 [0.364; 0.909]
holdout_block_metrics_long_df,holdout,svc_rbf,SVM с RBF-ядром,tfr,5.0,0.576 [0.394; 0.727],0.500 [0.500; 0.500],0.731 [0.565; 0.842],0.000 [0.000; 0.000],0.474 [0.323; 0.716],0.286 [0.123; 0.485],1.000 [1.000; 1.000],0.000 [0.000; 0.000]
matched_sensitivity_metrics_df,cv_oof,logreg,Логистическая регрессия,event_compact_matched_records_2_4,2.0,0.952 [0.913; 0.984],0.954 [0.914; 0.986],0.958 [0.922; 0.987],0.903 [0.823; 0.969],0.991 [0.979; 1.000],0.987 [0.966; 1.000],0.945 [0.884; 0.988],0.962 [0.900; 1.000]
matched_sensitivity_metrics_df,cv_oof,rf,Случайный лес,event_compact_matched_records_2_4,2.0,0.968 [0.937; 0.992],0.967 [0.932; 0.994],0.973 [0.942; 0.994],0.935 [0.868; 0.984],0.988 [0.963; 1.000],0.987 [0.963; 1.000],0.973 [0.926; 1.000],0.962 [0.907; 1.000]
matched_sensitivity_metrics_df,cv_oof,svc_rbf,SVM с RBF-ядром,event_compact_matched_records_2_4,2.0,0.944 [0.897; 0.984],0.944 [0.900; 0.984],0.952 [0.910; 0.986],0.886 [0.796; 0.967],0.983 [0.957; 1.000],0.977 [0.943; 1.000],0.945 [0.884; 0.988],0.943 [0.870; 1.000]
negative_control_metrics_df,cv_oof,logreg,Логистическая регрессия,negative_control_n_records_only,1.0,1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000]
negative_control_metrics_df,cv_oof,rf,Случайный лес,negative_control_n_records_only,1.0,1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000]
negative_control_metrics_df,cv_oof,svc_rbf,SVM с RBF-ядром,negative_control_n_records_only,1.0,1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000]
nested_event_metrics_df,nested_cv_top2_event,logreg,Логистическая регрессия,event_top2_train_only,2.0,0.927 [0.884; 0.963],0.929 [0.886; 0.967],0.933 [0.890; 0.969],0.853 [0.766; 0.929],0.982 [0.964; 0.996],0.969 [0.936; 0.995],0.913 [0.849; 0.968],0.944 [0.884; 0.987]
nested_event_metrics_df,nested_cv_top2_event,rf,Случайный лес,event_top2_train_only,2.0,0.945 [0.909; 0.976],0.945 [0.907; 0.979],0.951 [0.915; 0.981],0.889 [0.813; 0.952],0.980 [0.959; 0.996],0.976 [0.953; 0.994],0.946 [0.895; 0.989],0.944 [0.889; 0.987]
nested_event_metrics_df,nested_cv_top2_event,svc_rbf,SVM с RBF-ядром,event_top2_train_only,2.0,0.945 [0.909; 0.982],0.945 [0.906; 0.981],0.951 [0.914; 0.982],0.889 [0.811; 0.962],0.982 [0.960; 0.998],0.976 [0.949; 0.996],0.946 [0.894; 0.989],0.944 [0.884; 0.987]
sens_metrics_df,cv_oof,logreg,Логистическая регрессия,event_compact_no_single_record_subjects,2.0,0.952 [0.917; 0.986],0.952 [0.916; 0.986],0.952 [0.912; 0.985],0.904 [0.833; 0.972],0.986 [0.968; 0.998],0.983 [0.962; 0.998],0.945 [0.887; 0.989],0.958 [0.908; 1.000]
sens_metrics_df,cv_oof,rf,Случайный лес,event_compact_no_single_record_subjects,2.0,0.959 [0.924; 0.986],0.959 [0.924; 0.987],0.959 [0.924; 0.987],0.918 [0.849; 0.973],0.986 [0.968; 0.999],0.987 [0.971; 0.998],0.973 [0.931; 1.000],0.944 [0.887; 0.988]
sens_metrics_df,cv_oof,svc_rbf,SVM с RBF-ядром,event_compact_no_single_record_subjects,2.0,0.952 [0.917; 0.986],0.952 [0.916; 0.986],0.952 [0.912; 0.985],0.904 [0.833; 0.972],0.967 [0.923; 0.998],0.970 [0.936; 0.998],0.945 [0.887; 0.989],0.958 [0.908; 1.000]
topk_metrics_long_df,cv_oof_topk_train_only,logreg,Логистическая регрессия,alpha_peak,10.0,0.726 [0.652; 0.793],0.725 [0.653; 0.792],0.749 [0.671; 0.814],0.448 [0.305; 0.581],0.802 [0.714; 0.883],0.774 [0.696; 0.842],0.728 [0.630; 0.813],0.722 [0.614; 0.825]
topk_metrics_long_df,cv_oof_topk_train_only,logreg,Логистическая регрессия,aper,10.0,0.738 [0.677; 0.805],0.733 [0.669; 0.802],0.768 [0.698; 0.833],0.467 [0.337; 0.609],0.857 [0.787; 0.914],0.817 [0.753; 0.878],0.772 [0.684; 0.858],0.694 [0.592; 0.800]
topk_metrics_long_df,cv_oof_topk_train_only,logreg,Логистическая регрессия,burst,10.0,0.744 [0.677; 0.811],0.748 [0.678; 0.813],0.759 [0.679; 0.826],0.491 [0.354; 0.625],0.856 [0.787; 0.913],0.807 [0.738; 0.870],0.717 [0.621; 0.802],0.778 [0.681; 0.868]
topk_metrics_long_df,cv_oof_topk_train_only,logreg,Логистическая регрессия,conn,10.0,0.872 [0.817; 0.921],0.871 [0.816; 0.920],0.885 [0.832; 0.930],0.740 [0.628; 0.838],0.919 [0.862; 0.967],0.906 [0.853; 0.954],0.880 [0.809; 0.942],0.861 [0.775; 0.938]
topk_metrics_long_df,cv_oof_topk_train_only,logreg,Логистическая регрессия,dfa,10.0,0.665 [0.591; 0.738],0.662 [0.589; 0.732],0.696 [0.613; 0.769],0.322 [0.177; 0.464],0.750 [0.655; 0.846],0.735 [0.659; 0.807],0.685 [0.591; 0.778],0.639 [0.529; 0.743]
topk_metrics_long_df,cv_oof_topk_train_only,logreg,Логистическая регрессия,event,10.0,0.927 [0.884; 0.963],0.930 [0.887; 0.967],0.933 [0.887; 0.969],0.855 [0.768; 0.928],0.981 [0.962; 0.994],0.970 [0.939; 0.992],0.902 [0.837; 0.959],0.958 [0.908; 1.000]
topk_metrics_long_df,cv_oof_topk_train_only,logreg,Логистическая регрессия,spec_shape,10.0,0.695 [0.628; 0.762],0.694 [0.623; 0.764],0.722 [0.645; 0.791],0.385 [0.244; 0.525],0.782 [0.685; 0.875],0.761 [0.684; 0.836],0.707 [0.614; 0.796],0.681 [0.571; 0.789]
topk_metrics_long_df,cv_oof_topk_train_only,logreg,Логистическая регрессия,spectral_baseline,10.0,0.713 [0.640; 0.780],0.710 [0.638; 0.780],0.743 [0.667; 0.810],0.419 [0.275; 0.560],0.853 [0.782; 0.911],0.807 [0.738; 0.870],0.739 [0.645; 0.826],0.681 [0.571; 0.790]
topk_metrics_long_df,cv_oof_topk_train_only,logreg,Логистическая регрессия,tfr,5.0,0.659 [0.585; 0.732],0.655 [0.579; 0.729],0.692 [0.611; 0.763],0.309 [0.158; 0.457],0.799 [0.711; 0.881],0.756 [0.680; 0.829],0.685 [0.589; 0.774],0.625 [0.507; 0.739]
topk_metrics_long_df,cv_oof_topk_train_only,rf,Случайный лес,alpha_peak,10.0,0.598 [0.524; 0.671],0.590 [0.516; 0.661],0.645 [0.558; 0.718],0.181 [0.032; 0.324],0.680 [0.584; 0.777],0.636 [0.548; 0.713],0.652 [0.550; 0.747],0.528 [0.418; 0.644]
topk_metrics_long_df,cv_oof_topk_train_only,rf,Случайный лес,aper,10.0,0.701 [0.634; 0.774],0.697 [0.627; 0.769],0.732 [0.654; 0.802],0.394 [0.252; 0.539],0.810 [0.724; 0.884],0.775 [0.703; 0.844],0.728 [0.632; 0.817],0.667 [0.556; 0.779]
topk_metrics_long_df,cv_oof_topk_train_only,rf,Случайный лес,burst,10.0,0.774 [0.713; 0.835],0.773 [0.708; 0.837],0.796 [0.726; 0.856],0.544 [0.412; 0.672],0.872 [0.802; 0.929],0.844 [0.776; 0.901],0.783 [0.692; 0.867],0.764 [0.661; 0.863]
topk_metrics_long_df,cv_oof_topk_train_only,rf,Случайный лес,conn,10.0,0.823 [0.762; 0.878],0.820 [0.759; 0.878],0.843 [0.785; 0.896],0.641 [0.518; 0.755],0.918 [0.847; 0.973],0.925 [0.878; 0.964],0.848 [0.772; 0.917],0.792 [0.694; 0.877]
topk_metrics_long_df,cv_oof_topk_train_only,rf,Случайный лес,dfa,10.0,0.665 [0.591; 0.732],0.659 [0.587; 0.732],0.703 [0.624; 0.773],0.318 [0.174; 0.463],0.706 [0.607; 0.812],0.723 [0.640; 0.803],0.707 [0.613; 0.798],0.611 [0.493; 0.721]
topk_metrics_long_df,cv_oof_topk_train_only,rf,Случайный лес,event,10.0,0.939 [0.896; 0.976],0.940 [0.899; 0.976],0.945 [0.907; 0.978],0.877 [0.794; 0.951],0.984 [0.967; 0.996],0.979 [0.957; 0.995],0.935 [0.880; 0.980],0.944 [0.889; 0.987]
topk_metrics_long_df,cv_oof_topk_train_only,rf,Случайный лес,spec_shape,10.0,0.762 [0.701; 0.829],0.759 [0.693; 0.827],0.787 [0.719; 0.849],0.518 [0.386; 0.653],0.787 [0.692; 0.888],0.791 [0.714; 0.862],0.783 [0.700; 0.864],0.736 [0.625; 0.838]
topk_metrics_long_df,cv_oof_topk_train_only,rf,Случайный лес,spectral_baseline,10.0,0.738 [0.665; 0.805],0.735 [0.665; 0.804],0.765 [0.689; 0.830],0.469 [0.329; 0.606],0.847 [0.774; 0.908],0.800 [0.730; 0.863],0.761 [0.670; 0.842],0.708 [0.603; 0.810]
topk_metrics_long_df,cv_oof_topk_train_only,rf,Случайный лес,tfr,5.0,0.780 [0.713; 0.841],0.776 [0.708; 0.835],0.806 [0.743; 0.864],0.553 [0.420; 0.669],0.870 [0.804; 0.925],0.841 [0.776; 0.899],0.815 [0.736; 0.889],0.736 [0.630; 0.833]
topk_metrics_long_df,cv_oof_topk_train_only,svc_rbf,SVM с RBF-ядром,alpha_peak,10.0,0.646 [0.573; 0.720],0.633 [0.560; 0.705],0.701 [0.621; 0.770],0.273 [0.123; 0.420],0.705 [0.607; 0.810],0.677 [0.589; 0.756],0.739 [0.640; 0.827],0.528 [0.412; 0.642]
topk_metrics_long_df,cv_oof_topk_train_only,svc_rbf,SVM с RBF-ядром,aper,10.0,0.713 [0.646; 0.780],0.705 [0.637; 0.774],0.751 [0.678; 0.816],0.415 [0.278; 0.551],0.793 [0.704; 0.883],0.773 [0.701; 0.846],0.772 [0.682; 0.857],0.639 [0.526; 0.753]
topk_metrics_long_df,cv_oof_topk_train_only,svc_rbf,SVM с RBF-ядром,burst,10.0,0.823 [0.762; 0.878],0.821 [0.757; 0.877],0.842 [0.780; 0.894],0.642 [0.515; 0.752],0.909 [0.853; 0.952],0.881 [0.823; 0.930],0.837 [0.759; 0.905],0.806 [0.712; 0.894]
topk_metrics_long_df,cv_oof_topk_train_only,svc_rbf,SVM с RBF-ядром,conn,10.0,0.878 [0.829; 0.927],0.876 [0.824; 0.925],0.891 [0.842; 0.935],0.752 [0.647; 0.852],0.943 [0.891; 0.982],0.941 [0.898; 0.974],0.891 [0.828; 0.951],0.861 [0.773; 0.935]
topk_metrics_long_df,cv_oof_topk_train_only,svc_rbf,SVM с RBF-ядром,dfa,10.0,0.695 [0.628; 0.762],0.684 [0.613; 0.753],0.740 [0.663; 0.802],0.375 [0.229; 0.511],0.740 [0.644; 0.844],0.744 [0.665; 0.816],0.772 [0.682; 0.855],0.597 [0.478; 0.710]
topk_metrics_long_df,cv_oof_topk_train_only,svc_rbf,SVM с RBF-ядром,event,10.0,0.939 [0.896; 0.976],0.938 [0.896; 0.974],0.946 [0.907; 0.978],0.876 [0.790; 0.949],0.987 [0.971; 0.998],0.984 [0.967; 0.997],0.946 [0.892; 0.989],0.931 [0.865; 0.986]
topk_metrics_long_df,cv_oof_topk_train_only,svc_rbf,SVM с RBF-ядром,spec_shape,10.0,0.701 [0.634; 0.774],0.696 [0.628; 0.768],0.735 [0.663; 0.802],0.393 [0.257; 0.534],0.800 [0.712; 0.892],0.780 [0.707; 0.849],0.739 [0.653; 0.825],0.653 [0.537; 0.763]
topk_metrics_long_df,cv_oof_topk_train_only,svc_rbf,SVM с RBF-ядром,spectral_baseline,10.0,0.726 [0.659; 0.793],0.722 [0.653; 0.790],0.754 [0.683; 0.819],0.444 [0.307; 0.578],0.814 [0.733; 0.888],0.771 [0.699; 0.840],0.750 [0.663; 0.831],0.694 [0.584; 0.797]
topk_metrics_long_df,cv_oof_topk_train_only,svc_rbf,SVM с RBF-ядром,tfr,5.0,0.573 [0.494; 0.652],0.532 [0.472; 0.591],0.696 [0.619; 0.762],0.087 [-0.073; 0.239],0.700 [0.603; 0.809],0.625 [0.539; 0.704],0.870 [0.796; 0.934],0.194 [0.106; 0.293]
