source_table,validation,model,model_ru,feature_set,n_features,accuracy,balanced_accuracy,f1,mcc,pr_auc,roc_auc,sensitivity,specificity
blockwise_metrics_long_df,cv_oof,svc_rbf,SVM с RBF-ядром,dfa,10.0,0.695 [0.628; 0.762],0.684 [0.613; 0.753],0.740 [0.663; 0.802],0.375 [0.229; 0.511],0.740 [0.644; 0.844],0.744 [0.665; 0.816],0.772 [0.682; 0.855],0.597 [0.478; 0.710]
blockwise_metrics_long_df,cv_oof,svc_rbf,SVM с RBF-ядром,event,14.0,0.945 [0.902; 0.976],0.945 [0.904; 0.977],0.951 [0.912; 0.980],0.889 [0.804; 0.952],0.986 [0.970; 0.996],0.982 [0.964; 0.995],0.946 [0.892; 0.989],0.944 [0.884; 0.988]
blockwise_metrics_long_df,cv_oof,svc_rbf,SVM с RBF-ядром,spec_shape,15.0,0.738 [0.671; 0.805],0.730 [0.662; 0.801],0.772 [0.702; 0.833],0.465 [0.327; 0.605],0.815 [0.724; 0.895],0.781 [0.706; 0.853],0.793 [0.711; 0.874],0.667 [0.553; 0.775]
blockwise_metrics_long_df,cv_oof,svc_rbf,SVM с RBF-ядром,spectral_baseline,61.0,0.707 [0.634; 0.774],0.700 [0.626; 0.768],0.745 [0.670; 0.810],0.403 [0.253; 0.540],0.845 [0.769; 0.907],0.793 [0.719; 0.860],0.761 [0.674; 0.846],0.639 [0.521; 0.753]
blockwise_metrics_long_df,cv_oof,svc_rbf,SVM с RBF-ядром,tfr,5.0,0.573 [0.494; 0.652],0.532 [0.472; 0.591],0.696 [0.619; 0.762],0.087 [-0.073; 0.239],0.700 [0.603; 0.809],0.625 [0.539; 0.704],0.870 [0.796; 0.934],0.194 [0.106; 0.293]
event_metrics_df,cv_oof,logreg,Логистическая регрессия,event_compact,2.0,0.927 [0.884; 0.963],0.929 [0.884; 0.967],0.933 [0.891; 0.969],0.853 [0.764; 0.929],0.985 [0.969; 0.997],0.976 [0.948; 0.996],0.913 [0.849; 0.967],0.944 [0.884; 0.987]
event_metrics_df,cv_oof,rf,Случайный лес,event_compact,2.0,0.945 [0.909; 0.976],0.945 [0.907; 0.979],0.951 [0.915; 0.981],0.889 [0.813; 0.952],0.986 [0.971; 0.997],0.982 [0.964; 0.996],0.946 [0.895; 0.989],0.944 [0.889; 0.987]
event_metrics_df,cv_oof,svc_rbf,SVM с RBF-ядром,event_compact,2.0,0.945 [0.909; 0.982],0.945 [0.906; 0.981],0.951 [0.914; 0.982],0.889 [0.811; 0.962],0.977 [0.943; 0.998],0.977 [0.950; 0.997],0.946 [0.894; 0.989],0.944 [0.884; 0.987]
event_metrics_df,holdout,logreg,Логистическая регрессия,event_compact,2.0,0.818 [0.667; 0.939],0.823 [0.681; 0.944],0.833 [0.681; 0.947],0.639 [0.359; 0.881],0.920 [0.812; 0.986],0.861 [0.710; 0.974],0.789 [0.583; 0.950],0.857 [0.643; 1.000]
event_metrics_df,holdout,rf,Случайный лес,event_compact,2.0,0.848 [0.727; 0.970],0.850 [0.716; 0.969],0.865 [0.727; 0.971],0.694 [0.426; 0.938],0.941 [0.843; 1.000],0.915 [0.800; 1.000],0.842 [0.650; 1.000],0.857 [0.643; 1.000]
event_metrics_df,holdout,svc_rbf,SVM с RBF-ядром,event_compact,2.0,0.848 [0.727; 0.970],0.850 [0.719; 0.962],0.865 [0.727; 0.968],0.694 [0.434; 0.935],0.894 [0.755; 0.992],0.872 [0.722; 0.985],0.842 [0.667; 1.000],0.857 [0.643; 1.000]
