model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
rf,Случайный лес,1,propagation_only,cv_oof,accuracy,0.8719512195121951,0.8170731707317073,0.9207317073170732,0.872 [0.817; 0.921]
rf,Случайный лес,1,propagation_only,cv_oof,balanced_accuracy,0.8707729468599035,0.8160670116831161,0.9211422969501136,0.871 [0.816; 0.921]
rf,Случайный лес,1,propagation_only,cv_oof,sensitivity,0.8804347826086957,0.81,0.946236559139785,0.880 [0.810; 0.946]
rf,Случайный лес,1,propagation_only,cv_oof,specificity,0.8611111111111112,0.7761194029850746,0.9375192901234567,0.861 [0.776; 0.938]
rf,Случайный лес,1,propagation_only,cv_oof,precision,0.8901098901098901,0.8201978245278508,0.9509863701578192,0.890 [0.820; 0.951]
rf,Случайный лес,1,propagation_only,cv_oof,npv,0.8493150684931506,0.7638706140350877,0.927536231884058,0.849 [0.764; 0.928]
rf,Случайный лес,1,propagation_only,cv_oof,f1,0.8852459016393442,0.8343540753724802,0.9312319624819624,0.885 [0.834; 0.931]
rf,Случайный лес,1,propagation_only,cv_oof,mcc,0.7404846668000783,0.6308723082820734,0.8413868607762379,0.740 [0.631; 0.841]
svc_rbf,SVM с RBF-ядром,1,propagation_only,cv_oof,roc_auc,0.9267814009661836,0.8759380096156284,0.9683897939034924,0.927 [0.876; 0.968]
svc_rbf,SVM с RBF-ядром,1,propagation_only,cv_oof,pr_auc,0.9178425661241039,0.8415683361333686,0.9784602083259285,0.918 [0.842; 0.978]
svc_rbf,SVM с RBF-ядром,1,propagation_only,cv_oof,accuracy,0.8902439024390244,0.8353658536585366,0.9329268292682927,0.890 [0.835; 0.933]
svc_rbf,SVM с RBF-ядром,1,propagation_only,cv_oof,balanced_accuracy,0.8916062801932367,0.8400400631551126,0.9371947176956369,0.892 [0.840; 0.937]
svc_rbf,SVM с RBF-ядром,1,propagation_only,cv_oof,sensitivity,0.8804347826086957,0.8111036036036036,0.946236559139785,0.880 [0.811; 0.946]
svc_rbf,SVM с RBF-ядром,1,propagation_only,cv_oof,specificity,0.9027777777777778,0.8285714285714286,0.9692307692307692,0.903 [0.829; 0.969]
svc_rbf,SVM с RBF-ядром,1,propagation_only,cv_oof,precision,0.9204545454545454,0.8571428571428571,0.9743670886075949,0.920 [0.857; 0.974]
svc_rbf,SVM с RBF-ядром,1,propagation_only,cv_oof,npv,0.8552631578947368,0.77106952399763,0.9324324324324325,0.855 [0.771; 0.932]
svc_rbf,SVM с RBF-ядром,1,propagation_only,cv_oof,f1,0.9,0.8469309502942282,0.9425323962222709,0.900 [0.847; 0.943]
svc_rbf,SVM с RBF-ядром,1,propagation_only,cv_oof,mcc,0.7794561235741921,0.6772960778987939,0.8681936811298602,0.779 [0.677; 0.868]
logreg,Логистическая регрессия,2,both_features,cv_oof,roc_auc,0.9762983091787439,0.9483695652173914,0.9957812500000001,0.976 [0.948; 0.996]
logreg,Логистическая регрессия,2,both_features,cv_oof,pr_auc,0.9851805501532599,0.969013634989136,0.9967910921466225,0.985 [0.969; 0.997]
logreg,Логистическая регрессия,2,both_features,cv_oof,accuracy,0.926829268292683,0.8841463414634146,0.9634146341463414,0.927 [0.884; 0.963]
logreg,Логистическая регрессия,2,both_features,cv_oof,balanced_accuracy,0.9287439613526569,0.8844918431826845,0.9671985176282051,0.929 [0.884; 0.967]
logreg,Логистическая регрессия,2,both_features,cv_oof,sensitivity,0.9130434782608695,0.8494623655913979,0.967391304347826,0.913 [0.849; 0.967]
logreg,Логистическая регрессия,2,both_features,cv_oof,specificity,0.9444444444444444,0.8840344438170525,0.9871794871794872,0.944 [0.884; 0.987]
logreg,Логистическая регрессия,2,both_features,cv_oof,precision,0.9545454545454546,0.9052631578947369,0.9893617021276596,0.955 [0.905; 0.989]
logreg,Логистическая регрессия,2,both_features,cv_oof,npv,0.8947368421052632,0.8181818181818182,0.9605263157894737,0.895 [0.818; 0.961]
logreg,Логистическая регрессия,2,both_features,cv_oof,f1,0.9333333333333333,0.8913015318765487,0.9693877551020408,0.933 [0.891; 0.969]
logreg,Логистическая регрессия,2,both_features,cv_oof,mcc,0.8533752470897092,0.7643261927183838,0.9285991508047688,0.853 [0.764; 0.929]
rf,Случайный лес,2,both_features,cv_oof,roc_auc,0.9820350241545894,0.9636358832894159,0.9957862907744627,0.982 [0.964; 0.996]
rf,Случайный лес,2,both_features,cv_oof,pr_auc,0.9859635745163486,0.9707186616161868,0.9968356185629378,0.986 [0.971; 0.997]
rf,Случайный лес,2,both_features,cv_oof,accuracy,0.9451219512195121,0.9085365853658537,0.975609756097561,0.945 [0.909; 0.976]
rf,Случайный лес,2,both_features,cv_oof,balanced_accuracy,0.9450483091787439,0.9072939211312947,0.9788805751173709,0.945 [0.907; 0.979]
rf,Случайный лес,2,both_features,cv_oof,sensitivity,0.9456521739130435,0.8953335373317014,0.9887640449438202,0.946 [0.895; 0.989]
rf,Случайный лес,2,both_features,cv_oof,specificity,0.9444444444444444,0.8888888888888888,0.9873457278481013,0.944 [0.889; 0.987]
rf,Случайный лес,2,both_features,cv_oof,precision,0.9560439560439561,0.9110861423220974,0.9900024752475247,0.956 [0.911; 0.990]
rf,Случайный лес,2,both_features,cv_oof,npv,0.9315068493150684,0.8701298701298701,0.9857142857142858,0.932 [0.870; 0.986]
rf,Случайный лес,2,both_features,cv_oof,f1,0.9508196721311475,0.9154186693650392,0.9805871919342793,0.951 [0.915; 0.981]
rf,Случайный лес,2,both_features,cv_oof,mcc,0.8888228003772927,0.8127873324657651,0.9523532664857335,0.889 [0.813; 0.952]
svc_rbf,SVM с RBF-ядром,2,both_features,cv_oof,roc_auc,0.9769021739130435,0.949708712723951,0.9973166368515206,0.977 [0.950; 0.997]
svc_rbf,SVM с RBF-ядром,2,both_features,cv_oof,pr_auc,0.976692436735645,0.9428285653751327,0.998058315853952,0.977 [0.943; 0.998]
svc_rbf,SVM с RBF-ядром,2,both_features,cv_oof,accuracy,0.9451219512195121,0.9085365853658537,0.9817073170731707,0.945 [0.909; 0.982]
svc_rbf,SVM с RBF-ядром,2,both_features,cv_oof,balanced_accuracy,0.9450483091787439,0.9062886657216512,0.9806763285024154,0.945 [0.906; 0.981]
svc_rbf,SVM с RBF-ядром,2,both_features,cv_oof,sensitivity,0.9456521739130435,0.8935980243161094,0.9891304347826086,0.946 [0.894; 0.989]
svc_rbf,SVM с RBF-ядром,2,both_features,cv_oof,specificity,0.9444444444444444,0.8840344438170525,0.9871794871794872,0.944 [0.884; 0.987]
svc_rbf,SVM с RBF-ядром,2,both_features,cv_oof,precision,0.9560439560439561,0.9090677179962894,0.9897959183673469,0.956 [0.909; 0.990]
svc_rbf,SVM с RBF-ядром,2,both_features,cv_oof,npv,0.9315068493150684,0.868421052631579,0.9859154929577465,0.932 [0.868; 0.986]
svc_rbf,SVM с RBF-ядром,2,both_features,cv_oof,f1,0.9508196721311475,0.9139072847682119,0.9824561403508771,0.951 [0.914; 0.982]
svc_rbf,SVM с RBF-ядром,2,both_features,cv_oof,mcc,0.8888228003772927,0.8109298378284199,0.962311434911926,0.889 [0.811; 0.962]
