feature_set,n_features,accuracy,balanced_accuracy,f1,roc_auc,sensitivity,specificity
both_features,2,0.927 [0.884; 0.963],0.929 [0.884; 0.967],0.933 [0.891; 0.969],0.976 [0.948; 0.996],0.913 [0.849; 0.967],0.944 [0.884; 0.987]
propagation_only,1,0.890 [0.835; 0.933],0.892 [0.840; 0.937],0.900 [0.847; 0.943],0.940 [0.898; 0.974],0.880 [0.811; 0.946],0.903 [0.829; 0.969]
z_peak_only,1,0.945 [0.909; 0.982],0.947 [0.909; 0.981],0.950 [0.914; 0.982],0.965 [0.927; 0.996],0.935 [0.880; 0.980],0.958 [0.908; 1.000]
