validation,model,model_ru,feature_set,n_features,balanced_accuracy,f1,mcc,roc_auc,sensitivity,specificity
cv_oof,logreg,Логистическая регрессия,all_clean_features,302,0.938707729468599,0.9371428571428572,0.8709312786796137,0.9873188405797102,0.8913043478260869,0.9861111111111112
cv_oof,logreg,Логистическая регрессия,event_compact,2,0.9287439613526569,0.9333333333333333,0.8533752470897092,0.9762983091787439,0.9130434782608695,0.9444444444444444
cv_oof,logreg,Логистическая регрессия,spectral_baseline,61,0.7653985507246377,0.7771428571428571,0.5268744624634415,0.8310688405797101,0.7391304347826086,0.7916666666666666
cv_oof,rf,Случайный лес,all_clean_features,302,0.9752415458937198,0.9782608695652174,0.9504830917874396,0.9969806763285024,0.9782608695652174,0.9722222222222222
cv_oof,rf,Случайный лес,event_compact,2,0.9450483091787439,0.9508196721311475,0.8888228003772927,0.9820350241545894,0.9456521739130435,0.9444444444444444
cv_oof,rf,Случайный лес,spectral_baseline,61,0.75,0.770949720670391,0.4971931966421923,0.8121980676328503,0.75,0.75
cv_oof,svc_rbf,SVM с RBF-ядром,all_clean_features,302,0.9435386473429952,0.9513513513513514,0.8884867930355456,0.987469806763285,0.9565217391304348,0.9305555555555556
cv_oof,svc_rbf,SVM с RBF-ядром,event_compact,2,0.9450483091787439,0.9508196721311475,0.8888228003772927,0.9769021739130435,0.9456521739130435,0.9444444444444444
cv_oof,svc_rbf,SVM с RBF-ядром,spectral_baseline,61,0.6998792270531401,0.7446808510638298,0.40268712662254674,0.7933272946859903,0.7608695652173914,0.6388888888888888
