model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
logreg,Логистическая регрессия,10,conn,cv_oof_topk_train_only,sensitivity,0.8804347826086957,0.8089660651458404,0.9417503951230526,0.880 [0.809; 0.942]
logreg,Логистическая регрессия,10,conn,cv_oof_topk_train_only,specificity,0.8611111111111112,0.7746150234741783,0.9384848484848484,0.861 [0.775; 0.938]
logreg,Логистическая регрессия,10,conn,cv_oof_topk_train_only,precision,0.8901098901098901,0.8260743174924166,0.9523949579831932,0.890 [0.826; 0.952]
logreg,Логистическая регрессия,10,conn,cv_oof_topk_train_only,npv,0.8493150684931506,0.7575757575757576,0.9254005706760314,0.849 [0.758; 0.925]
logreg,Логистическая регрессия,10,conn,cv_oof_topk_train_only,f1,0.8852459016393442,0.8323699421965318,0.9297297297297298,0.885 [0.832; 0.930]
logreg,Логистическая регрессия,10,conn,cv_oof_topk_train_only,mcc,0.7404846668000783,0.6281502770048405,0.8383660620118449,0.740 [0.628; 0.838]
logreg,Логистическая регрессия,10,dfa,cv_oof_topk_train_only,roc_auc,0.7352053140096618,0.6594120553359685,0.8068554700563666,0.735 [0.659; 0.807]
logreg,Логистическая регрессия,10,dfa,cv_oof_topk_train_only,pr_auc,0.749708345465108,0.6546340796506637,0.8457663496901888,0.750 [0.655; 0.846]
logreg,Логистическая регрессия,10,dfa,cv_oof_topk_train_only,accuracy,0.6646341463414634,0.5914634146341463,0.7378048780487805,0.665 [0.591; 0.738]
logreg,Логистическая регрессия,10,dfa,cv_oof_topk_train_only,balanced_accuracy,0.6618357487922706,0.589135599174822,0.732274141611491,0.662 [0.589; 0.732]
logreg,Логистическая регрессия,10,dfa,cv_oof_topk_train_only,sensitivity,0.6847826086956522,0.5909090909090909,0.7777777777777778,0.685 [0.591; 0.778]
logreg,Логистическая регрессия,10,dfa,cv_oof_topk_train_only,specificity,0.6388888888888888,0.529390756302521,0.7432432432432432,0.639 [0.529; 0.743]
logreg,Логистическая регрессия,10,dfa,cv_oof_topk_train_only,precision,0.7078651685393258,0.6144578313253012,0.8,0.708 [0.614; 0.800]
logreg,Логистическая регрессия,10,dfa,cv_oof_topk_train_only,npv,0.6133333333333333,0.5,0.7229113823715915,0.613 [0.500; 0.723]
logreg,Логистическая регрессия,10,dfa,cv_oof_topk_train_only,f1,0.6961325966850829,0.6134969325153374,0.76925,0.696 [0.613; 0.769]
logreg,Логистическая регрессия,10,dfa,cv_oof_topk_train_only,mcc,0.3224326288126476,0.17685665596285388,0.4637910502013653,0.322 [0.177; 0.464]
logreg,Логистическая регрессия,10,event,cv_oof_topk_train_only,roc_auc,0.9696557971014493,0.9387813449848025,0.9923447910596347,0.970 [0.939; 0.992]
logreg,Логистическая регрессия,10,event,cv_oof_topk_train_only,pr_auc,0.9810764265821834,0.9622713051643679,0.9943695229057066,0.981 [0.962; 0.994]
logreg,Логистическая регрессия,10,event,cv_oof_topk_train_only,accuracy,0.926829268292683,0.8841463414634146,0.9634146341463414,0.927 [0.884; 0.963]
logreg,Логистическая регрессия,10,event,cv_oof_topk_train_only,balanced_accuracy,0.9302536231884058,0.8870624469677327,0.9673921637378655,0.930 [0.887; 0.967]
logreg,Логистическая регрессия,10,event,cv_oof_topk_train_only,sensitivity,0.9021739130434783,0.8367346938775511,0.9591836734693877,0.902 [0.837; 0.959]
logreg,Логистическая регрессия,10,event,cv_oof_topk_train_only,specificity,0.9583333333333334,0.9078896761133604,1.0,0.958 [0.908; 1.000]
logreg,Логистическая регрессия,10,event,cv_oof_topk_train_only,precision,0.9651162790697675,0.9213259703779367,1.0,0.965 [0.921; 1.000]
logreg,Логистическая регрессия,10,event,cv_oof_topk_train_only,npv,0.8846153846153846,0.8064292114695341,0.9512342051131354,0.885 [0.806; 0.951]
logreg,Логистическая регрессия,10,event,cv_oof_topk_train_only,f1,0.9325842696629213,0.8875,0.968754852484472,0.933 [0.887; 0.969]
logreg,Логистическая регрессия,10,event,cv_oof_topk_train_only,mcc,0.8551024816224644,0.7684606187991404,0.927980859797387,0.855 [0.768; 0.928]
logreg,Логистическая регрессия,10,spec_shape,cv_oof_topk_train_only,roc_auc,0.7610205314009661,0.6839154462558718,0.8356822543601146,0.761 [0.684; 0.836]
logreg,Логистическая регрессия,10,spec_shape,cv_oof_topk_train_only,pr_auc,0.7820037866983762,0.6851973495961227,0.874856831369294,0.782 [0.685; 0.875]
logreg,Логистическая регрессия,10,spec_shape,cv_oof_topk_train_only,accuracy,0.6951219512195121,0.6280487804878049,0.7621951219512195,0.695 [0.628; 0.762]
logreg,Логистическая регрессия,10,spec_shape,cv_oof_topk_train_only,balanced_accuracy,0.6935386473429952,0.6225086999360607,0.7641554307116103,0.694 [0.623; 0.764]
logreg,Логистическая регрессия,10,spec_shape,cv_oof_topk_train_only,sensitivity,0.7065217391304348,0.6143905031892275,0.7956989247311828,0.707 [0.614; 0.796]
logreg,Логистическая регрессия,10,spec_shape,cv_oof_topk_train_only,specificity,0.6805555555555556,0.5714285714285714,0.7887323943661971,0.681 [0.571; 0.789]
logreg,Логистическая регрессия,10,spec_shape,cv_oof_topk_train_only,precision,0.7386363636363636,0.6455361489776047,0.8313253012048193,0.739 [0.646; 0.831]
logreg,Логистическая регрессия,10,spec_shape,cv_oof_topk_train_only,npv,0.6447368421052632,0.5333333333333333,0.7468427178815655,0.645 [0.533; 0.747]
logreg,Логистическая регрессия,10,spec_shape,cv_oof_topk_train_only,f1,0.7222222222222222,0.6451524766437511,0.7914438502673797,0.722 [0.645; 0.791]
logreg,Логистическая регрессия,10,spec_shape,cv_oof_topk_train_only,mcc,0.3852207981581011,0.24373786338551648,0.5248843804124632,0.385 [0.244; 0.525]
logreg,Логистическая регрессия,5,tfr,cv_oof_topk_train_only,roc_auc,0.7560386473429952,0.6797892337547511,0.8287535272112488,0.756 [0.680; 0.829]
logreg,Логистическая регрессия,5,tfr,cv_oof_topk_train_only,pr_auc,0.7991882862735269,0.7113433923000243,0.8812409197070018,0.799 [0.711; 0.881]
logreg,Логистическая регрессия,5,tfr,cv_oof_topk_train_only,accuracy,0.6585365853658537,0.5853658536585366,0.7317073170731707,0.659 [0.585; 0.732]
logreg,Логистическая регрессия,5,tfr,cv_oof_topk_train_only,balanced_accuracy,0.6548913043478262,0.5793739335132787,0.7286891385767791,0.655 [0.579; 0.729]
logreg,Логистическая регрессия,5,tfr,cv_oof_topk_train_only,sensitivity,0.6847826086956522,0.5894590643274853,0.7741935483870968,0.685 [0.589; 0.774]
logreg,Логистическая регрессия,5,tfr,cv_oof_topk_train_only,specificity,0.625,0.5072412737293326,0.7391304347826086,0.625 [0.507; 0.739]
logreg,Логистическая регрессия,5,tfr,cv_oof_topk_train_only,precision,0.7,0.6039254887027165,0.7931388757675955,0.700 [0.604; 0.793]
logreg,Логистическая регрессия,5,tfr,cv_oof_topk_train_only,npv,0.6081081081081081,0.4920426065162907,0.7142857142857143,0.608 [0.492; 0.714]
logreg,Логистическая регрессия,5,tfr,cv_oof_topk_train_only,f1,0.6923076923076923,0.6107784431137725,0.7634503160966121,0.692 [0.611; 0.763]
logreg,Логистическая регрессия,5,tfr,cv_oof_topk_train_only,mcc,0.30894422391430426,0.15767401926271193,0.45684009255354574,0.309 [0.158; 0.457]
logreg,Логистическая регрессия,10,spectral_baseline,cv_oof_topk_train_only,roc_auc,0.8067632850241546,0.7378132425594476,0.8695678286982635,0.807 [0.738; 0.870]
logreg,Логистическая регрессия,10,spectral_baseline,cv_oof_topk_train_only,pr_auc,0.8525634970870596,0.781880401637071,0.9107990773230049,0.853 [0.782; 0.911]
logreg,Логистическая регрессия,10,spectral_baseline,cv_oof_topk_train_only,accuracy,0.7134146341463414,0.6402439024390244,0.7804878048780488,0.713 [0.640; 0.780]
logreg,Логистическая регрессия,10,spectral_baseline,cv_oof_topk_train_only,balanced_accuracy,0.7098429951690821,0.6381064393070813,0.780016192109261,0.710 [0.638; 0.780]
logreg,Логистическая регрессия,10,spectral_baseline,cv_oof_topk_train_only,sensitivity,0.7391304347826086,0.6451242120875046,0.8255940343781597,0.739 [0.645; 0.826]
logreg,Логистическая регрессия,10,spectral_baseline,cv_oof_topk_train_only,specificity,0.6805555555555556,0.5714285714285714,0.7903225806451613,0.681 [0.571; 0.790]
logreg,Логистическая регрессия,10,spectral_baseline,cv_oof_topk_train_only,precision,0.7472527472527473,0.6508932155760738,0.8352941176470589,0.747 [0.651; 0.835]
logreg,Логистическая регрессия,10,spectral_baseline,cv_oof_topk_train_only,npv,0.6712328767123288,0.5595063025210084,0.774656690140845,0.671 [0.560; 0.775]
logreg,Логистическая регрессия,10,spectral_baseline,cv_oof_topk_train_only,f1,0.7431693989071039,0.6666666666666666,0.8102564102564103,0.743 [0.667; 0.810]
logreg,Логистическая регрессия,10,spectral_baseline,cv_oof_topk_train_only,mcc,0.41908537738278046,0.2749975612129893,0.5602713572883903,0.419 [0.275; 0.560]
