column,reason
conn__n_roi_used__coh_beta,zero_variance
conn__n_roi_used__coh_delta,zero_variance
conn__n_roi_used__coh_gamma,gamma; zero_variance
conn__n_roi_used__coh_theta,zero_variance
conn__n_roi_used__dtf_alpha,zero_variance
conn__n_roi_used__dtf_beta,zero_variance
conn__n_roi_used__dtf_delta,zero_variance
conn__n_roi_used__dtf_gamma,gamma; zero_variance
conn__n_roi_used__dtf_theta,zero_variance
conn__n_roi_used__imcoh_alpha,zero_variance
conn__n_roi_used__imcoh_beta,zero_variance
conn__n_roi_used__imcoh_delta,zero_variance
conn__n_roi_used__imcoh_gamma,gamma; zero_variance
conn__n_roi_used__imcoh_theta,zero_variance
conn__n_roi_used__pdc_alpha,zero_variance
conn__n_roi_used__pdc_beta,zero_variance
conn__n_roi_used__pdc_delta,zero_variance
conn__n_roi_used__pdc_gamma,gamma; zero_variance
conn__n_roi_used__pdc_theta,zero_variance
conn__n_roi_used__plv_alpha,zero_variance
conn__n_roi_used__plv_beta,zero_variance
conn__n_roi_used__plv_delta,zero_variance
conn__n_roi_used__plv_gamma,gamma; zero_variance
conn__n_roi_used__plv_theta,zero_variance
conn__n_roi_used__wpli_alpha,zero_variance
conn__n_roi_used__wpli_beta,zero_variance
conn__n_roi_used__wpli_delta,zero_variance
conn__n_roi_used__wpli_gamma,gamma; zero_variance
conn__n_roi_used__wpli_theta,zero_variance
conn__mean_strength__coh_gamma,gamma
conn__mean_strength__dtf_gamma,gamma
conn__mean_strength__imcoh_gamma,gamma
conn__mean_strength__pdc_gamma,gamma
conn__mean_strength__plv_gamma,gamma
conn__mean_strength__wpli_gamma,gamma
conn__clustering__coh_gamma,gamma
conn__clustering__dtf_gamma,gamma
conn__clustering__imcoh_gamma,gamma
conn__clustering__pdc_gamma,gamma
conn__clustering__plv_gamma,gamma
conn__clustering__wpli_gamma,gamma
conn__global_efficiency__coh_gamma,gamma
conn__global_efficiency__dtf_gamma,gamma
conn__global_efficiency__imcoh_gamma,gamma
conn__global_efficiency__pdc_gamma,gamma
conn__global_efficiency__plv_gamma,gamma
conn__global_efficiency__wpli_gamma,gamma
conn__modularity__coh_gamma,gamma
conn__modularity__dtf_gamma,gamma
conn__modularity__imcoh_gamma,gamma
conn__modularity__pdc_gamma,gamma
conn__modularity__plv_gamma,gamma
conn__modularity__wpli_gamma,gamma
conn__small_worldness__coh_gamma,gamma
conn__small_worldness__dtf_gamma,gamma
conn__small_worldness__imcoh_gamma,gamma
conn__small_worldness__pdc_gamma,gamma
conn__small_worldness__plv_gamma,gamma
conn__small_worldness__wpli_gamma,gamma
conn__hub_z_max__coh_gamma,gamma
conn__hub_z_max__dtf_gamma,gamma
conn__hub_z_max__imcoh_gamma,gamma
conn__hub_z_max__pdc_gamma,gamma
conn__hub_z_max__plv_gamma,gamma
conn__hub_z_max__wpli_gamma,gamma
conn__n_hubs__coh_gamma,gamma
conn__n_hubs__dtf_gamma,gamma
conn__n_hubs__imcoh_gamma,gamma
conn__n_hubs__pdc_gamma,gamma
conn__n_hubs__plv_gamma,gamma
conn__n_hubs__wpli_gamma,gamma
conn__asymmetry__coh_alpha,zero_variance
conn__asymmetry__coh_beta,zero_variance
conn__asymmetry__coh_delta,zero_variance
conn__asymmetry__coh_gamma,gamma; zero_variance
conn__asymmetry__coh_theta,zero_variance
conn__asymmetry__dtf_gamma,gamma
conn__asymmetry__imcoh_alpha,zero_variance
conn__asymmetry__imcoh_beta,zero_variance
conn__asymmetry__imcoh_delta,zero_variance
conn__asymmetry__imcoh_gamma,gamma; zero_variance
conn__asymmetry__imcoh_theta,zero_variance
conn__asymmetry__pdc_gamma,gamma
conn__asymmetry__plv_alpha,zero_variance
conn__asymmetry__plv_beta,zero_variance
conn__asymmetry__plv_delta,zero_variance
conn__asymmetry__plv_gamma,gamma; zero_variance
conn__asymmetry__plv_theta,zero_variance
conn__asymmetry__wpli_alpha,zero_variance
conn__asymmetry__wpli_beta,zero_variance
conn__asymmetry__wpli_delta,zero_variance
conn__asymmetry__wpli_gamma,gamma; zero_variance
conn__asymmetry__wpli_theta,zero_variance
conn__graph_density__coh_alpha,zero_variance
conn__graph_density__coh_beta,zero_variance
conn__graph_density__coh_delta,zero_variance
conn__graph_density__coh_gamma,gamma; zero_variance
conn__graph_density__coh_theta,zero_variance
conn__graph_density__dtf_alpha,zero_variance
conn__graph_density__dtf_beta,zero_variance
conn__graph_density__dtf_delta,zero_variance
conn__graph_density__dtf_gamma,gamma; zero_variance
conn__graph_density__dtf_theta,zero_variance
conn__graph_density__imcoh_alpha,zero_variance
conn__graph_density__imcoh_beta,zero_variance
conn__graph_density__imcoh_delta,zero_variance
conn__graph_density__imcoh_gamma,gamma; zero_variance
conn__graph_density__imcoh_theta,zero_variance
conn__graph_density__pdc_alpha,zero_variance
conn__graph_density__pdc_beta,zero_variance
conn__graph_density__pdc_delta,zero_variance
conn__graph_density__pdc_gamma,gamma; zero_variance
conn__graph_density__pdc_theta,zero_variance
conn__graph_density__plv_alpha,zero_variance
conn__graph_density__plv_beta,zero_variance
conn__graph_density__plv_delta,zero_variance
conn__graph_density__plv_gamma,gamma; zero_variance
conn__graph_density__plv_theta,zero_variance
conn__graph_density__wpli_alpha,zero_variance
conn__graph_density__wpli_beta,zero_variance
conn__graph_density__wpli_delta,zero_variance
conn__graph_density__wpli_gamma,gamma; zero_variance
conn__graph_density__wpli_theta,zero_variance
n_records_subject,QC/meta
size_mb,QC/meta
n_epochs,QC/meta
sfreq_hz,QC/meta; zero_variance
n_channels,QC/meta; zero_variance
tmin_sec,QC/meta
tmax_sec,QC/meta
epoch_len_sec,QC/meta; zero_variance
n_epochs_sum,QC/meta
n_epochs_median,QC/meta
y,id/target
