block,block_ru,n_features,median_auc,max_auc,median_abs_g,max_abs_g,n_fdr_005
event,Транзиентные события,14,0.7814009661835749,0.964975845410628,0.7287135678949381,2.3302479574189605,13
conn,Функциональная связность,172,0.5740489130434783,0.8691123188405797,0.24806144808854141,1.3512420460605923,63
aper,Апериодический компонент,31,0.6410024154589373,0.8057065217391304,0.41239588356601803,1.1420608092640874,16
burst,Burst-активность,40,0.6132246376811594,0.8020833333333333,0.34095729310297573,0.9997637822086023,22
spec_shape,Форма спектра,15,0.7252415458937198,0.7821557971014492,0.8410157663110321,1.045041959178796,15
dfa,DFA,10,0.673913043478261,0.7776268115942029,0.5672526970639233,1.0969821672769275,7
alpha_peak,Альфа-пик,15,0.6038647342995169,0.7140700483091786,0.42146700720865066,0.7342473181696393,10
