model,model_ru,feature,feature_ru,block,block_ru,importance_mean,importance_std,feature_set,validation,n_repeats,n_train,n_test,logreg_coef,logreg_abs_coef,roc_auc_oriented,hedges_g_tbi_minus_control,abs_hedges_g,q_fdr,rank_strict,rank_in_model,importance_positive
logreg,Логистическая регрессия,event__z_peak,"Пиковая амплитуда события, z",event,Транзиентные события,0.000877192982456132,0.0025093965406642435,all_clean_features,exploratory_holdout,30,131,33,-0.7016447616205195,0.7016447616205195,0.964975845410628,-2.3302479574189605,2.3302479574189605,5.729587184044175e-22,1,1,0.000877192982456132
logreg,Логистическая регрессия,conn__asymmetry__dtf_beta,Функциональная связность · асимметрия · DTF β,conn,Функциональная связность,0.00012531328320801726,0.0006748326825982939,all_clean_features,exploratory_holdout,30,131,33,-0.43570520258328177,0.43570520258328177,0.711352657004831,-0.7839986104287673,0.7839986104287673,1.686838321294027e-05,2,2,0.00012531328320801726
logreg,Логистическая регрессия,conn__small_worldness__pdc_delta,Функциональная связность · мера маломирности · PDC δ,conn,Функциональная связность,0.00012531328320801726,0.0006748326825982939,all_clean_features,exploratory_holdout,30,131,33,0.23678985598641306,0.23678985598641306,0.6239432367149759,0.4714922902793102,0.4714922902793102,0.004870847880610348,3,3,0.00012531328320801726
logreg,Логистическая регрессия,event__propagation_ms,"Время распространения события, мс",event,Транзиентные события,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.4516992381558619,0.4516992381558619,0.9412741545893721,2.2034857008326165,2.2034857008326165,5.2932122026501394e-20,4,4,0.0
logreg,Логистическая регрессия,event__spike_to_slow_ratio,Транзиентные события · spike to slow ratio,event,Транзиентные события,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.24409455119612666,0.24409455119612666,0.9202898550724639,1.0829277517849636,1.0829277517849636,2.8943409230170134e-18,5,5,0.0
logreg,Логистическая регрессия,conn__clustering__plv_theta,Функциональная связность · кластеризация · PLV θ,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.22868210368335912,0.22868210368335912,0.8691123188405797,-1.3512420460605923,1.3512420460605923,4.139794683171406e-14,6,6,0.0
logreg,Логистическая регрессия,event__n_involved_ch,Число вовлечённых каналов события,event,Транзиентные события,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.2189816450674021,0.2189816450674021,0.8408061594202899,1.1307276973039035,1.1307276973039035,3.887498532653169e-12,7,7,0.0
logreg,Логистическая регрессия,event__line_length_uv,Транзиентные события · line length uv,event,Транзиентные события,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.08306116902098093,0.08306116902098093,0.8331823671497585,0.5497899025899595,0.5497899025899595,1.3276232018551686e-11,8,8,0.0
logreg,Логистическая регрессия,event__slow_peak_uv,Транзиентные события · slow peak uv,event,Транзиентные события,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.12091430795266556,0.12091430795266556,0.8194444444444445,1.0803857516580142,1.0803857516580142,1.0267203285724793e-10,9,9,0.0
logreg,Логистическая регрессия,event__peak_to_peak_uv,Транзиентные события · peak to peak uv,event,Транзиентные события,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.1054171407532542,0.1054171407532542,0.8159722222222223,0.9720211555015174,0.9720211555015174,1.5444586928952428e-10,10,10,0.0
