feature,feature_ru,block,block_ru,n_models_top_n,mean_rank,best_rank,mean_importance,max_importance,models_top_n,roc_auc_oriented,hedges_g_tbi_minus_control,abs_hedges_g,q_fdr
spec_shape__spectral_entropy_raw__frontal,Форма спектра · spectral entropy raw · frontal,spec_shape,Форма спектра,3,5.0,4,0.00012531328320802097,0.0003759398496240629,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7821557971014492,-1.0450419591787885,1.0450419591787885,1.060044940206294e-08
conn__hub_z_max__plv_beta,Связность · hub z max · plv beta,conn,Связность,3,5.666666666666667,4,8.354218880534731e-05,0.00025062656641604194,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.776268115942029,-1.066771737493484,1.066771737493484,1.876917646958725e-08
aper__aperiodic_slope__frontal,Апериодика · Апериодикаiodic slope · frontal,aper,Апериодика,3,6.0,4,4.177109440267366e-05,0.00012531328320802097,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7758152173913043,-0.9693323545586681,0.9693323545586681,1.876917646958725e-08
conn__global_efficiency__plv_theta,Связность · global efficiency · plv theta,conn,Связность,3,6.0,4,4.177109440267366e-05,0.00012531328320802097,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7697765700483092,-0.9378487017738449,0.9378487017738449,3.481071482256141e-08
alpha_peak__alpha_peak_amp_db__central,Альфа-пик · Альфа-пик amp db · central,alpha_peak,Альфа-пик,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6141304347826086,-0.3829701746179126,0.3829701746179126,0.02692199644439793
alpha_peak__alpha_peak_amp_db__frontal,Альфа-пик · Альфа-пик amp db · frontal,alpha_peak,Альфа-пик,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6038647342995169,-0.33567494401069387,0.33567494401069387,0.04663087540865663
alpha_peak__alpha_peak_amp_db__occipital,Альфа-пик · Альфа-пик amp db · occipital,alpha_peak,Альфа-пик,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5981280193236715,-0.3167689980860307,0.3167689980860307,0.06155201494293255
alpha_peak__alpha_peak_amp_db__parietal,Альфа-пик · Альфа-пик amp db · parietal,alpha_peak,Альфа-пик,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6265096618357487,-0.4474454207283884,0.4474454207283884,0.013021513104720434
alpha_peak__alpha_peak_amp_db__temporal,Альфа-пик · Альфа-пик amp db · temporal,alpha_peak,Альфа-пик,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5840881642512078,-0.29450255805146003,0.29450255805146003,0.11445735399307884
alpha_peak__alpha_peak_db__central,Альфа-пик · Альфа-пик db · central,alpha_peak,Альфа-пик,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6666666666666666,0.5577680323879399,0.5577680323879399,0.0007961663218493517
