feature,feature_ru,PC1_loading,PC2_loading,abs_PC1_loading,abs_PC2_loading
burst__rate_per_min__temporal_beta,Burst-активность · rate per min · temporal beta,0.003663449979370848,-0.09541694226928249,0.003663449979370848,0.09541694226928249
burst__pct_time__central_alpha,Burst-активность · pct time · central alpha,0.03899449311630022,-0.06999900824295224,0.03899449311630022,0.06999900824295224
burst__pct_time__central_beta,Burst-активность · pct time · central beta,-0.017320517106505593,-0.051496631347397515,0.017320517106505593,0.051496631347397515
burst__pct_time__frontal_alpha,Burst-активность · pct time · frontal alpha,0.0362717137000383,-0.062196751104930094,0.0362717137000383,0.062196751104930094
burst__pct_time__frontal_beta,Burst-активность · pct time · frontal beta,0.01932790819532822,-0.06160953386146645,0.01932790819532822,0.06160953386146645
burst__pct_time__occipital_alpha,Burst-активность · pct time · occipital alpha,0.02814470695884528,-0.05985615034864372,0.02814470695884528,0.05985615034864372
burst__pct_time__occipital_beta,Burst-активность · pct time · occipital beta,0.0402132452005524,-0.05328833191137391,0.0402132452005524,0.05328833191137391
burst__pct_time__parietal_alpha,Burst-активность · pct time · parietal alpha,0.03639225460304152,-0.06627623047191593,0.03639225460304152,0.06627623047191593
burst__pct_time__parietal_beta,Burst-активность · pct time · parietal beta,0.03270170739122547,-0.04670722559899898,0.03270170739122547,0.04670722559899898
burst__pct_time__temporal_alpha,Burst-активность · pct time · temporal alpha,0.02340611990090188,-0.038587625475905295,0.02340611990090188,0.038587625475905295
burst__pct_time__temporal_beta,Burst-активность · pct time · temporal beta,-0.003507115284287325,-0.0833678063920023,0.003507115284287325,0.0833678063920023
burst__mean_amp__central_alpha,Burst-активность · mean amp · central alpha,0.11823585933131762,0.07508332200498295,0.11823585933131762,0.07508332200498295
burst__mean_amp__central_beta,Burst-активность · mean amp · central beta,0.031523778457530544,0.03505218357986711,0.031523778457530544,0.03505218357986711
burst__mean_amp__frontal_alpha,Burst-активность · mean amp · frontal alpha,0.12668891493744436,0.0829721089399975,0.12668891493744436,0.0829721089399975
burst__mean_amp__frontal_beta,Burst-активность · mean amp · frontal beta,0.06025243511371783,0.032214908397329496,0.06025243511371783,0.032214908397329496
burst__mean_amp__occipital_alpha,Burst-активность · mean amp · occipital alpha,0.12376407770495947,0.0833026201574404,0.12376407770495947,0.0833026201574404
burst__mean_amp__occipital_beta,Burst-активность · mean amp · occipital beta,0.08836157410793088,0.01215912809305993,0.08836157410793088,0.01215912809305993
burst__mean_amp__parietal_alpha,Burst-активность · mean amp · parietal alpha,0.13208923187996194,0.059972104051992145,0.13208923187996194,0.059972104051992145
burst__mean_amp__parietal_beta,Burst-активность · mean amp · parietal beta,0.08417145115163835,-0.0022887291142648612,0.08417145115163835,0.0022887291142648612
burst__mean_amp__temporal_alpha,Burst-активность · mean amp · temporal alpha,0.12296962620342937,0.05639064723366296,0.12296962620342937,0.05639064723366296
burst__mean_amp__temporal_beta,Burst-активность · mean amp · temporal beta,0.02267335171541578,-0.0071363105109692486,0.02267335171541578,0.0071363105109692486
burst__mean_peak__central_alpha,Burst-активность · mean peak · central alpha,0.11771030840536367,0.07150710621754117,0.11771030840536367,0.07150710621754117
burst__mean_peak__central_beta,Burst-активность · mean peak · central beta,0.027422202957530444,0.032749813297860475,0.027422202957530444,0.032749813297860475
burst__mean_peak__frontal_alpha,Burst-активность · mean peak · frontal alpha,0.12720231186752826,0.08146615231879858,0.12720231186752826,0.08146615231879858
