roc_auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,npv,f1,mcc,threshold,youden_j
0.9762983091787439,0.9851805501532599,0.573170731707317,0.5153985507246377,0.9891304347826086,0.041666666666666664,0.56875,0.75,0.7222222222222222,0.09907863587553334,0.01,0.030797101449275388
0.9762983091787439,0.9851805501532599,0.5975609756097561,0.5431763285024155,0.9891304347826086,0.09722222222222222,0.5833333333333334,0.875,0.7338709677419355,0.19894295948139046,0.02,0.08635265700483097
0.9762983091787439,0.9851805501532599,0.6280487804878049,0.5778985507246377,0.9891304347826086,0.16666666666666666,0.6026490066225165,0.9230769230769231,0.7489711934156379,0.2861932494030881,0.03,0.1557971014492754
0.9762983091787439,0.9851805501532599,0.6524390243902439,0.6056763285024154,0.9891304347826086,0.2222222222222222,0.6190476190476191,0.9411764705882353,0.7615062761506276,0.3441000579230558,0.04,0.21135265700483075
0.9762983091787439,0.9851805501532599,0.7073170731707317,0.6681763285024154,0.9891304347826086,0.3472222222222222,0.6594202898550725,0.9615384615384616,0.7913043478260869,0.4570132666801013,0.05,0.33635265700483075
0.9762983091787439,0.9851805501532599,0.725609756097561,0.6890096618357487,0.9891304347826086,0.3888888888888889,0.674074074074074,0.9655172413793104,0.801762114537445,0.4917091381028543,0.060000000000000005,0.3780193236714975
0.9762983091787439,0.9851805501532599,0.7560975609756098,0.723731884057971,0.9891304347826086,0.4583333333333333,0.7,0.9705882352941176,0.8198198198198198,0.5477809221020077,0.06999999999999999,0.4474637681159419
0.9762983091787439,0.9851805501532599,0.7926829268292683,0.7653985507246377,0.9891304347826086,0.5416666666666666,0.7338709677419355,0.975,0.8425925925925926,0.6134057832943558,0.08,0.5307971014492754
0.9762983091787439,0.9851805501532599,0.823170731707317,0.8001207729468599,0.9891304347826086,0.6111111111111112,0.7647058823529411,0.9777777777777777,0.8625592417061612,0.6675848559978649,0.09,0.6002415458937198
0.9762983091787439,0.9851805501532599,0.8536585365853658,0.8348429951690821,0.9891304347826086,0.6805555555555556,0.7982456140350878,0.98,0.883495145631068,0.7219281022106152,0.09999999999999999,0.6696859903381642
0.9762983091787439,0.9851805501532599,0.8719512195121951,0.8556763285024154,0.9891304347826086,0.7222222222222222,0.8198198198198198,0.9811320754716981,0.896551724137931,0.7548239919667872,0.11,0.7113526570048307
0.9762983091787439,0.9851805501532599,0.8719512195121951,0.8556763285024154,0.9891304347826086,0.7222222222222222,0.8198198198198198,0.9811320754716981,0.896551724137931,0.7548239919667872,0.12,0.7113526570048307
0.9762983091787439,0.9851805501532599,0.8780487804878049,0.8626207729468599,0.9891304347826086,0.7361111111111112,0.8272727272727273,0.9814814814814815,0.900990099009901,0.7658604002068227,0.13,0.7252415458937198
0.9762983091787439,0.9851805501532599,0.8902439024390244,0.8765096618357487,0.9891304347826086,0.7638888888888888,0.8425925925925926,0.9821428571428571,0.91,0.7880620093417121,0.14,0.7530193236714975
0.9762983091787439,0.9851805501532599,0.8963414634146342,0.884963768115942,0.9782608695652174,0.7916666666666666,0.8571428571428571,0.9661016949152542,0.9137055837563451,0.7961398430441871,0.15000000000000002,0.769927536231884
0.9762983091787439,0.9851805501532599,0.9024390243902439,0.8919082125603865,0.9782608695652174,0.8055555555555556,0.8653846153846154,0.9666666666666667,0.9183673469387755,0.8075738117439123,0.16,0.7838164251207731
0.9762983091787439,0.9851805501532599,0.9085365853658537,0.898852657004831,0.9782608695652174,0.8194444444444444,0.8737864077669902,0.9672131147540983,0.9230769230769231,0.8190664125665639,0.17,0.7977053140096619
0.9762983091787439,0.9851805501532599,0.9085365853658537,0.898852657004831,0.9782608695652174,0.8194444444444444,0.8737864077669902,0.9672131147540983,0.9230769230769231,0.8190664125665639,0.18000000000000002,0.7977053140096619
0.9762983091787439,0.9851805501532599,0.9146341463414634,0.9057971014492754,0.9782608695652174,0.8333333333333334,0.8823529411764706,0.967741935483871,0.9278350515463918,0.8306214985246239,0.19,0.8115942028985508
0.9762983091787439,0.9851805501532599,0.9146341463414634,0.9057971014492754,0.9782608695652174,0.8333333333333334,0.8823529411764706,0.967741935483871,0.9278350515463918,0.8306214985246239,0.2,0.8115942028985508
0.9762983091787439,0.9851805501532599,0.9146341463414634,0.9073067632850241,0.967391304347826,0.8472222222222222,0.89,0.953125,0.9270833333333334,0.8287466618873176,0.21000000000000002,0.8146135265700483
0.9762983091787439,0.9851805501532599,0.9146341463414634,0.9073067632850241,0.967391304347826,0.8472222222222222,0.89,0.953125,0.9270833333333334,0.8287466618873176,0.22,0.8146135265700483
0.9762983091787439,0.9851805501532599,0.9146341463414634,0.9073067632850241,0.967391304347826,0.8472222222222222,0.89,0.953125,0.9270833333333334,0.8287466618873176,0.23,0.8146135265700483
0.9762983091787439,0.9851805501532599,0.9146341463414634,0.9073067632850241,0.967391304347826,0.8472222222222222,0.89,0.953125,0.9270833333333334,0.8287466618873176,0.24000000000000002,0.8146135265700483
0.9762983091787439,0.9851805501532599,0.9146341463414634,0.9073067632850241,0.967391304347826,0.8472222222222222,0.89,0.953125,0.9270833333333334,0.8287466618873176,0.25,0.8146135265700483
0.9762983091787439,0.9851805501532599,0.9146341463414634,0.9073067632850241,0.967391304347826,0.8472222222222222,0.89,0.953125,0.9270833333333334,0.8287466618873176,0.26,0.8146135265700483
0.9762983091787439,0.9851805501532599,0.9146341463414634,0.9073067632850241,0.967391304347826,0.8472222222222222,0.89,0.953125,0.9270833333333334,0.8287466618873176,0.27,0.8146135265700483
0.9762983091787439,0.9851805501532599,0.9146341463414634,0.9073067632850241,0.967391304347826,0.8472222222222222,0.89,0.953125,0.9270833333333334,0.8287466618873176,0.28,0.8146135265700483
0.9762983091787439,0.9851805501532599,0.9146341463414634,0.9073067632850241,0.967391304347826,0.8472222222222222,0.89,0.953125,0.9270833333333334,0.8287466618873176,0.29000000000000004,0.8146135265700483
0.9762983091787439,0.9851805501532599,0.9207317073170732,0.9142512077294687,0.967391304347826,0.8611111111111112,0.898989898989899,0.9538461538461539,0.9319371727748691,0.8405811857073269,0.3,0.8285024154589373
0.9762983091787439,0.9851805501532599,0.9390243902439024,0.9350845410628019,0.967391304347826,0.9027777777777778,0.9270833333333334,0.9558823529411765,0.9468085106382979,0.8765440324215859,0.31,0.8701690821256038
0.9762983091787439,0.9851805501532599,0.9390243902439024,0.9350845410628019,0.967391304347826,0.9027777777777778,0.9270833333333334,0.9558823529411765,0.9468085106382979,0.8765440324215859,0.32,0.8701690821256038
0.9762983091787439,0.9851805501532599,0.9390243902439024,0.9350845410628019,0.967391304347826,0.9027777777777778,0.9270833333333334,0.9558823529411765,0.9468085106382979,0.8765440324215859,0.33,0.8701690821256038
0.9762983091787439,0.9851805501532599,0.9390243902439024,0.9350845410628019,0.967391304347826,0.9027777777777778,0.9270833333333334,0.9558823529411765,0.9468085106382979,0.8765440324215859,0.34,0.8701690821256038
0.9762983091787439,0.9851805501532599,0.9390243902439024,0.9350845410628019,0.967391304347826,0.9027777777777778,0.9270833333333334,0.9558823529411765,0.9468085106382979,0.8765440324215859,0.35000000000000003,0.8701690821256038
0.9762983091787439,0.9851805501532599,0.9390243902439024,0.9350845410628019,0.967391304347826,0.9027777777777778,0.9270833333333334,0.9558823529411765,0.9468085106382979,0.8765440324215859,0.36000000000000004,0.8701690821256038
0.9762983091787439,0.9851805501532599,0.926829268292683,0.9242149758454106,0.9456521739130435,0.9027777777777778,0.925531914893617,0.9285714285714286,0.9354838709677419,0.8512619211705745,0.37,0.8484299516908211
0.9762983091787439,0.9851805501532599,0.9329268292682927,0.931159420289855,0.9456521739130435,0.9166666666666666,0.9354838709677419,0.9295774647887324,0.9405405405405406,0.8636889996288353,0.38,0.86231884057971
0.9762983091787439,0.9851805501532599,0.926829268292683,0.9272342995169083,0.9239130434782609,0.9305555555555556,0.9444444444444444,0.9054054054054054,0.9340659340659341,0.8521560952022232,0.39,0.8544685990338166
0.9762983091787439,0.9851805501532599,0.926829268292683,0.9272342995169083,0.9239130434782609,0.9305555555555556,0.9444444444444444,0.9054054054054054,0.9340659340659341,0.8521560952022232,0.4,0.8544685990338166
0.9762983091787439,0.9851805501532599,0.9329268292682927,0.9341787439613527,0.9239130434782609,0.9444444444444444,0.9550561797752809,0.9066666666666666,0.9392265193370166,0.8650338064040808,0.41000000000000003,0.8683574879227054
0.9762983091787439,0.9851805501532599,0.9329268292682927,0.9341787439613527,0.9239130434782609,0.9444444444444444,0.9550561797752809,0.9066666666666666,0.9392265193370166,0.8650338064040808,0.42000000000000004,0.8683574879227054
0.9762983091787439,0.9851805501532599,0.9329268292682927,0.9341787439613527,0.9239130434782609,0.9444444444444444,0.9550561797752809,0.9066666666666666,0.9392265193370166,0.8650338064040808,0.43,0.8683574879227054
0.9762983091787439,0.9851805501532599,0.9329268292682927,0.9341787439613527,0.9239130434782609,0.9444444444444444,0.9550561797752809,0.9066666666666666,0.9392265193370166,0.8650338064040808,0.44,0.8683574879227054
0.9762983091787439,0.9851805501532599,0.9329268292682927,0.9341787439613527,0.9239130434782609,0.9444444444444444,0.9550561797752809,0.9066666666666666,0.9392265193370166,0.8650338064040808,0.45,0.8683574879227054
0.9762983091787439,0.9851805501532599,0.9329268292682927,0.9341787439613527,0.9239130434782609,0.9444444444444444,0.9550561797752809,0.9066666666666666,0.9392265193370166,0.8650338064040808,0.46,0.8683574879227054
0.9762983091787439,0.9851805501532599,0.9329268292682927,0.9341787439613527,0.9239130434782609,0.9444444444444444,0.9550561797752809,0.9066666666666666,0.9392265193370166,0.8650338064040808,0.47000000000000003,0.8683574879227054
0.9762983091787439,0.9851805501532599,0.9329268292682927,0.9341787439613527,0.9239130434782609,0.9444444444444444,0.9550561797752809,0.9066666666666666,0.9392265193370166,0.8650338064040808,0.48000000000000004,0.8683574879227054
0.9762983091787439,0.9851805501532599,0.9329268292682927,0.9341787439613527,0.9239130434782609,0.9444444444444444,0.9550561797752809,0.9066666666666666,0.9392265193370166,0.8650338064040808,0.49,0.8683574879227054
0.9762983091787439,0.9851805501532599,0.926829268292683,0.9287439613526569,0.9130434782608695,0.9444444444444444,0.9545454545454546,0.8947368421052632,0.9333333333333333,0.8533752470897092,0.5,0.8574879227053138
0.9762983091787439,0.9851805501532599,0.926829268292683,0.9287439613526569,0.9130434782608695,0.9444444444444444,0.9545454545454546,0.8947368421052632,0.9333333333333333,0.8533752470897092,0.51,0.8574879227053138
0.9762983091787439,0.9851805501532599,0.926829268292683,0.9287439613526569,0.9130434782608695,0.9444444444444444,0.9545454545454546,0.8947368421052632,0.9333333333333333,0.8533752470897092,0.52,0.8574879227053138
0.9762983091787439,0.9851805501532599,0.926829268292683,0.9287439613526569,0.9130434782608695,0.9444444444444444,0.9545454545454546,0.8947368421052632,0.9333333333333333,0.8533752470897092,0.53,0.8574879227053138
0.9762983091787439,0.9851805501532599,0.926829268292683,0.9287439613526569,0.9130434782608695,0.9444444444444444,0.9545454545454546,0.8947368421052632,0.9333333333333333,0.8533752470897092,0.54,0.8574879227053138
0.9762983091787439,0.9851805501532599,0.926829268292683,0.9302536231884058,0.9021739130434783,0.9583333333333334,0.9651162790697675,0.8846153846153846,0.9325842696629213,0.8551024816224644,0.55,0.8605072463768115
0.9762983091787439,0.9851805501532599,0.926829268292683,0.9302536231884058,0.9021739130434783,0.9583333333333334,0.9651162790697675,0.8846153846153846,0.9325842696629213,0.8551024816224644,0.56,0.8605072463768115
0.9762983091787439,0.9851805501532599,0.926829268292683,0.9317632850241546,0.8913043478260869,0.9722222222222222,0.9761904761904762,0.875,0.9318181818181818,0.8573363356131297,0.5700000000000001,0.8635265700483092
0.9762983091787439,0.9851805501532599,0.926829268292683,0.9317632850241546,0.8913043478260869,0.9722222222222222,0.9761904761904762,0.875,0.9318181818181818,0.8573363356131297,0.5800000000000001,0.8635265700483092
0.9762983091787439,0.9851805501532599,0.926829268292683,0.9317632850241546,0.8913043478260869,0.9722222222222222,0.9761904761904762,0.875,0.9318181818181818,0.8573363356131297,0.59,0.8635265700483092
0.9762983091787439,0.9851805501532599,0.9207317073170732,0.9263285024154589,0.8804347826086957,0.9722222222222222,0.9759036144578314,0.8641975308641975,0.9257142857142857,0.84635579180703,0.6,0.8526570048309179
0.9762983091787439,0.9851805501532599,0.9146341463414634,0.9208937198067633,0.8695652173913043,0.9722222222222222,0.975609756097561,0.8536585365853658,0.9195402298850575,0.8355044182110837,0.61,0.8417874396135265
0.9762983091787439,0.9851805501532599,0.9146341463414634,0.9208937198067633,0.8695652173913043,0.9722222222222222,0.975609756097561,0.8536585365853658,0.9195402298850575,0.8355044182110837,0.62,0.8417874396135265
0.9762983091787439,0.9851805501532599,0.9146341463414634,0.9208937198067633,0.8695652173913043,0.9722222222222222,0.975609756097561,0.8536585365853658,0.9195402298850575,0.8355044182110837,0.63,0.8417874396135265
0.9762983091787439,0.9851805501532599,0.9085365853658537,0.9154589371980677,0.8586956521739131,0.9722222222222222,0.9753086419753086,0.8433734939759037,0.9132947976878613,0.8247773155286638,0.64,0.8309178743961354
0.9762983091787439,0.9851805501532599,0.9085365853658537,0.9154589371980677,0.8586956521739131,0.9722222222222222,0.9753086419753086,0.8433734939759037,0.9132947976878613,0.8247773155286638,0.65,0.8309178743961354
0.9762983091787439,0.9851805501532599,0.9085365853658537,0.9154589371980677,0.8586956521739131,0.9722222222222222,0.9753086419753086,0.8433734939759037,0.9132947976878613,0.8247773155286638,0.66,0.8309178743961354
0.9762983091787439,0.9851805501532599,0.9085365853658537,0.9154589371980677,0.8586956521739131,0.9722222222222222,0.9753086419753086,0.8433734939759037,0.9132947976878613,0.8247773155286638,0.67,0.8309178743961354
0.9762983091787439,0.9851805501532599,0.9085365853658537,0.9154589371980677,0.8586956521739131,0.9722222222222222,0.9753086419753086,0.8433734939759037,0.9132947976878613,0.8247773155286638,0.68,0.8309178743961354
0.9762983091787439,0.9851805501532599,0.9085365853658537,0.9154589371980677,0.8586956521739131,0.9722222222222222,0.9753086419753086,0.8433734939759037,0.9132947976878613,0.8247773155286638,0.6900000000000001,0.8309178743961354
0.9762983091787439,0.9851805501532599,0.9085365853658537,0.9154589371980677,0.8586956521739131,0.9722222222222222,0.9753086419753086,0.8433734939759037,0.9132947976878613,0.8247773155286638,0.7000000000000001,0.8309178743961354
0.9762983091787439,0.9851805501532599,0.9024390243902439,0.9100241545893719,0.8478260869565217,0.9722222222222222,0.975,0.8333333333333334,0.9069767441860465,0.8141697508829581,0.7100000000000001,0.8200483091787438
0.9762983091787439,0.9851805501532599,0.9024390243902439,0.9100241545893719,0.8478260869565217,0.9722222222222222,0.975,0.8333333333333334,0.9069767441860465,0.8141697508829581,0.72,0.8200483091787438
0.9762983091787439,0.9851805501532599,0.8963414634146342,0.9045893719806763,0.8369565217391305,0.9722222222222222,0.9746835443037974,0.8235294117647058,0.9005847953216374,0.8036771473702545,0.73,0.8091787439613527
0.9762983091787439,0.9851805501532599,0.8963414634146342,0.9045893719806763,0.8369565217391305,0.9722222222222222,0.9746835443037974,0.8235294117647058,0.9005847953216374,0.8036771473702545,0.74,0.8091787439613527
0.9762983091787439,0.9851805501532599,0.8841463414634146,0.893719806763285,0.8152173913043478,0.9722222222222222,0.974025974025974,0.8045977011494253,0.8875739644970414,0.7830192372239357,0.75,0.78743961352657
0.9762983091787439,0.9851805501532599,0.8841463414634146,0.893719806763285,0.8152173913043478,0.9722222222222222,0.974025974025974,0.8045977011494253,0.8875739644970414,0.7830192372239357,0.76,0.78743961352657
0.9762983091787439,0.9851805501532599,0.8658536585365854,0.8774154589371981,0.782608695652174,0.9722222222222222,0.972972972972973,0.7777777777777778,0.8674698795180723,0.7527880699666283,0.77,0.7548309178743962
0.9762983091787439,0.9851805501532599,0.8658536585365854,0.8774154589371981,0.782608695652174,0.9722222222222222,0.972972972972973,0.7777777777777778,0.8674698795180723,0.7527880699666283,0.78,0.7548309178743962
0.9762983091787439,0.9851805501532599,0.8658536585365854,0.8774154589371981,0.782608695652174,0.9722222222222222,0.972972972972973,0.7777777777777778,0.8674698795180723,0.7527880699666283,0.79,0.7548309178743962
0.9762983091787439,0.9851805501532599,0.8719512195121951,0.8843599033816425,0.782608695652174,0.9861111111111112,0.9863013698630136,0.7802197802197802,0.8727272727272727,0.7676196912349346,0.8,0.768719806763285
0.9762983091787439,0.9851805501532599,0.8658536585365854,0.8789251207729469,0.7717391304347826,0.9861111111111112,0.9861111111111112,0.7717391304347826,0.8658536585365854,0.7578502415458938,0.81,0.7578502415458939
0.9762983091787439,0.9851805501532599,0.8658536585365854,0.8804347826086957,0.7608695652173914,1.0,1.0,0.7659574468085106,0.8641975308641975,0.7634092673842875,0.8200000000000001,0.7608695652173914
0.9762983091787439,0.9851805501532599,0.8597560975609756,0.875,0.75,1.0,1.0,0.7578947368421053,0.8571428571428571,0.7539370349250519,0.8300000000000001,0.75
0.9762983091787439,0.9851805501532599,0.8597560975609756,0.875,0.75,1.0,1.0,0.7578947368421053,0.8571428571428571,0.7539370349250519,0.8400000000000001,0.75
0.9762983091787439,0.9851805501532599,0.8475609756097561,0.8641304347826086,0.7282608695652174,1.0,1.0,0.7422680412371134,0.8427672955974843,0.7352310991530561,0.85,0.7282608695652173
0.9762983091787439,0.9851805501532599,0.8414634146341463,0.8586956521739131,0.717391304347826,1.0,1.0,0.7346938775510204,0.8354430379746836,0.7259910461656456,0.86,0.7173913043478262
0.9762983091787439,0.9851805501532599,0.8292682926829268,0.8478260869565217,0.6956521739130435,1.0,1.0,0.72,0.8205128205128205,0.7077213895435063,0.87,0.6956521739130435
0.9762983091787439,0.9851805501532599,0.823170731707317,0.8423913043478262,0.6847826086956522,1.0,1.0,0.7128712871287128,0.8129032258064516,0.6986858089758424,0.88,0.6847826086956523
