validation,model,model_ru,feature_set,n_features,accuracy,balanced_accuracy,f1,mcc,pr_auc,roc_auc,sensitivity,specificity
cv_oof,logreg,Логистическая регрессия,spectral_baseline,61,0.762 [0.695; 0.823],0.765 [0.696; 0.829],0.777 [0.699; 0.837],0.527 [0.389; 0.654],0.882 [0.823; 0.927],0.831 [0.766; 0.888],0.739 [0.645; 0.823],0.792 [0.697; 0.881]
cv_oof,rf,Случайный лес,spectral_baseline,61,0.750 [0.689; 0.817],0.750 [0.686; 0.817],0.771 [0.699; 0.836],0.497 [0.371; 0.631],0.856 [0.786; 0.916],0.812 [0.747; 0.877],0.750 [0.667; 0.837],0.750 [0.650; 0.848]
cv_oof,svc_rbf,SVM с RBF-ядром,spectral_baseline,61,0.707 [0.634; 0.774],0.700 [0.626; 0.768],0.745 [0.670; 0.810],0.403 [0.253; 0.540],0.845 [0.769; 0.907],0.793 [0.719; 0.860],0.761 [0.674; 0.846],0.639 [0.521; 0.753]
holdout,logreg,Логистическая регрессия,spectral_baseline,61,0.848 [0.727; 0.970],0.840 [0.705; 0.962],0.872 [0.743; 0.971],0.688 [0.422; 0.935],0.919 [0.794; 0.993],0.883 [0.744; 0.989],0.895 [0.737; 1.000],0.786 [0.538; 1.000]
holdout,rf,Случайный лес,spectral_baseline,61,0.788 [0.636; 0.909],0.797 [0.646; 0.925],0.800 [0.632; 0.927],0.587 [0.286; 0.831],0.921 [0.823; 0.984],0.872 [0.738; 0.968],0.737 [0.529; 0.917],0.857 [0.666; 1.000]
holdout,svc_rbf,SVM с RBF-ядром,spectral_baseline,61,0.727 [0.576; 0.879],0.716 [0.545; 0.864],0.769 [0.595; 0.898],0.437 [0.092; 0.722],0.881 [0.750; 0.966],0.805 [0.632; 0.938],0.789 [0.579; 0.950],0.643 [0.364; 0.909]
