model,model_ru,feature_set,n_features,validation,roc_auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,npv,f1,mcc,threshold
logreg,Логистическая регрессия,all_clean_features,301,exploratory_holdout,1.0,1.0,0.9393939393939394,0.9473684210526316,0.8947368421052632,1.0,1.0,0.875,0.9444444444444444,0.8848133909712856,0.5
rf,Случайный лес,all_clean_features,301,exploratory_holdout,0.9924812030075189,0.9949874686716791,0.9393939393939394,0.9379699248120301,0.9473684210526315,0.9285714285714286,0.9473684210526315,0.9285714285714286,0.9473684210526315,0.8759398496240601,0.5
svc_rbf,SVM с RBF-ядром,all_clean_features,301,exploratory_holdout,0.9924812030075189,0.9945983379501384,0.9393939393939394,0.9379699248120301,0.9473684210526315,0.9285714285714286,0.9473684210526315,0.9285714285714286,0.9473684210526315,0.8759398496240601,0.5
