group,n_subjects,n_records,n_epochs,median_epochs_per_record,min_epochs_per_record,max_epochs_per_record,n_common_channels,median_sfreq_hz,median_epoch_len_sec,median_prop_bad_epochs_p2p,max_prop_bad_epochs_p2p
Control,72,363,16387,45.0,29,69,58.0,500.0,4.0,0.0,0.1379310344827586
TBI,92,212,23832,114.0,55,175,58.0,500.0,4.0,0.0,0.0909090909090909
