feature_block,n_tests,n_significant_fdr_0_05,max_abs_hedges_g,min_q_fdr
Burst,70,32,3.3121893291311526,4.845117666117937e-25
Graph metrics,48,43,1.2687311641311847,2.70755884147718e-10
Connectivity,60,9,1.2687311641311847,6.76889710369295e-10
DFA / LRTC,10,3,0.680777070904312,0.0006131495254845553
Events,11,5,0.5356039204391265,0.008928116819919129
