channel
AF3
AF4
AF7
AF8
C1
C2
C3
C4
C5
C6
CP1
CP2
CP3
CP4
CP5
CP6
CPz
Cz
F1
F2
F3
F4
F5
F6
F7
F8
FC1
FC2
FC3
FC4
