family,roi,roi_ru,metric,metric_ru,n_tbi,n_ctl,mean_tbi,mean_ctl,diff_mean_tbi_minus_ctl,p_perm,hedges_g,q_fdr
bandpower_rel,frontal,Лобная область,delta,δ (1–4 Гц),212,363,0.297011797110225,0.27811352434087305,0.018898272769351965,0.08198360327934413,0.15239643633237296,0.09759952771350491
bandpower_rel,frontal,Лобная область,theta,θ (4–8 Гц),212,363,0.1632716725546283,0.1454807169953701,0.017790955559258192,0.0013997200559888023,0.2770399451940904,0.0029160834499766717
bandpower_rel,frontal,Лобная область,alpha,α (8–13 Гц),212,363,0.2963480846438476,0.2697846589546648,0.026563425689182796,0.08178364327134573,0.15357227699345438,0.09759952771350491
bandpower_rel,frontal,Лобная область,beta,β (13–30 Гц),212,363,0.19022185907849593,0.22185915366145278,-0.03163729458295686,0.0005998800239952009,-0.33394268149254985,0.0013633636908981837
bandpower_rel,frontal,Лобная область,gamma,γ (30–45 Гц),212,363,0.05314658661280313,0.0847619460476392,-0.03161535943483607,0.0001999600079984003,-0.5385604920537298,0.0004999000199960008
bandpower_rel,temporal,Височная область,delta,δ (1–4 Гц),212,363,0.32295830074165943,0.2696734598881877,0.05328484085347174,0.0001999600079984003,0.4850148592985199,0.0004999000199960008
bandpower_rel,temporal,Височная область,theta,θ (4–8 Гц),212,363,0.15987571001913792,0.13568668752631882,0.024189022492819096,0.0001999600079984003,0.4154405682804062,0.0004999000199960008
bandpower_rel,temporal,Височная область,alpha,α (8–13 Гц),212,363,0.26830172008401076,0.2639940426160712,0.004307677467939586,0.7220555888822235,0.03060140909791603,0.7521412384189828
bandpower_rel,temporal,Височная область,beta,β (13–30 Гц),212,363,0.18851460200622852,0.2298967654907671,-0.041382163484538576,0.0001999600079984003,-0.5185325206931247,0.0004999000199960008
bandpower_rel,temporal,Височная область,gamma,γ (30–45 Гц),212,363,0.06034966714896347,0.10074904447865518,-0.04039937732969171,0.0001999600079984003,-0.6703337143622922,0.0004999000199960008
