family,roi,roi_ru,metric,metric_ru,n_tbi,n_ctl,mean_tbi,mean_ctl,diff_mean_tbi_minus_ctl,p_perm,hedges_g,q_fdr
extra_indices,frontal,Лобная область,slowing_dt_over_alpha,Индекс замедления (δ+θ)/α,212,363,2.1983873838354744,3.123591515739611,-0.9252041319041364,0.007198560287942412,-0.21667526020658226,0.017567914988430883
extra_indices,frontal,Лобная область,slowing_dt_over_beta,Индекс замедления (δ+θ)/β,212,363,2.8311763430924355,2.9164760944916694,-0.08529975139923396,0.8222355528894221,-0.022138561488165256,0.829634073185363
extra_indices,frontal,Лобная область,log_slowing_dt_over_ab,Лог-индекс замедления log((δ+θ)/(α+β)),212,363,-0.06305118260028697,-0.1527636901920424,0.08971250759175542,0.14117176564687062,0.1264566274481206,0.2352862760781177
extra_indices,temporal,Височная область,slowing_dt_over_alpha,Индекс замедления (δ+θ)/α,212,363,2.3991879171627932,2.4987174846411326,-0.09952956747833941,0.7250549890021996,-0.03361226752098369,0.829634073185363
extra_indices,temporal,Височная область,slowing_dt_over_beta,Индекс замедления (δ+θ)/β,212,363,2.92169440077091,2.2965864161040317,0.6251079846668781,0.0005998800239952009,0.3038730895628253,0.004499100179964007
extra_indices,temporal,Височная область,log_slowing_dt_over_ab,Лог-индекс замедления log((δ+θ)/(α+β)),212,363,0.057648662237788244,-0.20801953842009896,0.2656682006578872,0.0001999600079984003,0.4550142320238649,0.0029994001199760045
extra_indices,central,Центральная область,slowing_dt_over_alpha,Индекс замедления (δ+θ)/α,212,363,1.8538920737338518,2.1526742647928154,-0.29878219105896364,0.10837832433513298,-0.13962762910279639,0.20320935812837432
extra_indices,central,Центральная область,slowing_dt_over_beta,Индекс замедления (δ+θ)/β,212,363,2.464480622623633,2.042592299610734,0.42188832301289914,0.003199360127974405,0.2503379425246681,0.011997600479904018
extra_indices,central,Центральная область,log_slowing_dt_over_ab,Лог-индекс замедления log((δ+θ)/(α+β)),212,363,-0.20214541508234538,-0.3471635438900818,0.14501812880773643,0.008198360327934412,0.22948189515498016,0.017567914988430883
extra_indices,parietal,Теменная область,slowing_dt_over_alpha,Индекс замедления (δ+θ)/α,212,363,1.4203368104270353,1.9874783445349897,-0.5671415341079544,0.007598480303939212,-0.20262572611768942,0.017567914988430883
extra_indices,parietal,Теменная область,slowing_dt_over_beta,Индекс замедления (δ+θ)/β,212,363,2.491499563084355,2.3454116341525477,0.1460879289318071,0.5232953409318136,0.05636517072480461,0.654119176164767
extra_indices,parietal,Теменная область,log_slowing_dt_over_ab,Лог-индекс замедления log((δ+θ)/(α+β)),212,363,-0.40592206684377813,-0.4806928801447965,0.07477081330101837,0.2385522895420916,0.10158581157584498,0.3578284343131374
extra_indices,occipital,Затылочная область,slowing_dt_over_alpha,Индекс замедления (δ+θ)/α,212,363,1.476295278431861,2.0669836075802066,-0.5906883291483456,0.002999400119976005,-0.23572733460143228,0.011997600479904018
extra_indices,occipital,Затылочная область,slowing_dt_over_beta,Индекс замедления (δ+θ)/β,212,363,2.426187804165165,2.47581909118836,-0.04963128702319475,0.829634073185363,-0.020244891570676535,0.829634073185363
extra_indices,occipital,Затылочная область,log_slowing_dt_over_ab,Лог-индекс замедления log((δ+θ)/(α+β)),212,363,-0.3850793783853829,-0.4471280469211561,0.06204866853577318,0.3735252949410118,0.077341744224094,0.5093526749195615
