roi,band,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05,feature_block,method,abs_hedges_g
temporal,alpha,n_bursts,55.21557971014494,38.28587962962963,16.929700080515303,55.0,38.5625,16.4375,7.916666666666671,5.875,3.3121893291311526,0.9782608695652173,6552.0,6.921596665882767e-27,92,72,4.845117666117937e-25,True,Burst,,3.3121893291311526
central,alpha,n_bursts,54.18115942028985,37.535300925925924,16.645858494363928,54.0,37.6875,16.3125,8.5,5.15625,2.8480587616731334,0.9690519323671498,6521.5,2.0692784191179115e-26,92,72,7.24247446691269e-25,True,Burst,,2.8480587616731334
frontal,alpha,n_bursts,53.59420289855072,37.070601851851855,16.523601046698865,53.66666666666667,37.375,16.29166666666667,9.333333333333329,6.375,2.6705280552387483,0.9498792270531402,6458.0,1.9374636363310925e-25,92,72,4.5207484847725494e-24,True,Burst,,2.6705280552387483
occipital,alpha,n_bursts,53.48007246376811,36.851273148148145,16.628799315619965,54.58333333333333,37.125,17.45833333333333,7.666666666666664,7.25,2.506344560552958,0.9116847826086956,6331.5,1.4536753587198275e-23,92,72,2.543931877759698e-22,True,Burst,,2.506344560552958
parietal,alpha,n_bursts,53.00181159420289,36.43171296296296,16.57009863123993,54.66666666666667,36.5625,18.10416666666667,9.583333333333329,7.0625,2.4238598104731617,0.9033816425120773,6304.0,3.6489820542943265e-23,92,72,5.108574876012058e-22,True,Burst,,2.4238598104731617
,alpha,local_efficiency,0.3,0.5447916666666666,-0.24479166666666657,0.3,0.6,-0.3,0.6,0.07499999999999996,-1.2687311641311847,-0.5807669082125604,1388.5,1.1281495172821583e-11,92,72,2.70755884147718e-10,True,Graph metrics,plv,1.2687311641311847
,alpha,small_world_proxy,0.3,0.5447916666666666,-0.24479166666666657,0.3,0.6,-0.3,0.6,0.07499999999999996,-1.2687311641311847,-0.5807669082125604,1388.5,1.1281495172821583e-11,92,72,2.70755884147718e-10,True,Graph metrics,plv,1.2687311641311847
,alpha,clustering,0.3,0.5447916666666666,-0.24479166666666657,0.3,0.6,-0.3,0.6,0.07499999999999996,-1.2687311641311847,-0.5807669082125604,1388.5,1.1281495172821583e-11,92,72,6.76889710369295e-10,True,Connectivity,plv,1.2687311641311847
,alpha,avg_shortest_path,1.3242753623188406,1.0561342592592593,0.2681411030595813,1.3333333333333335,1.0,0.3333333333333335,0.6666666666666667,0.08333333333333326,1.2618736185726251,0.5718599033816425,5206.0,2.4107372888922313e-11,92,72,3.037144518533951e-10,True,Graph metrics,plv,1.2618736185726251
,alpha,global_efficiency,0.3644021739130433,0.31096643518518513,0.05343573872785817,0.36666666666666664,0.3,0.06666666666666665,0.1333333333333333,0.012500000000000011,1.256342018684912,0.5712560386473431,5204.0,2.530953765444959e-11,92,72,3.037144518533951e-10,True,Graph metrics,plv,1.256342018684912
central,alpha,burst_time_fraction,0.042596793666065655,0.03465882136152528,0.007937972304540374,0.04177222222222218,0.03443734211520018,0.007334880107022004,0.008616849415204658,0.006683799063377571,1.2500132054504314,0.6358695652173914,5418.0,3.0241218406053395e-12,92,72,3.528142147372896e-11,True,Burst,,1.2500132054504314
,theta,avg_shortest_path,1.3266908212560389,1.0817901234567904,0.2449006977992485,1.3333333333333335,1.0,0.3333333333333335,0.6666666666666667,0.16666666666666674,1.182729140630481,0.5310990338164252,5071.0,1.7791203108386072e-09,92,72,7.503815508347867e-09,True,Graph metrics,coh,1.182729140630481
,theta,global_efficiency,0.36458333333333315,0.3156346450617284,0.04894868827160476,0.36666666666666664,0.3,0.06666666666666665,0.1333333333333333,0.033333333333333326,1.1788398508305915,0.5303442028985508,5068.5,1.8759538770869667e-09,92,72,7.503815508347867e-09,True,Graph metrics,coh,1.1788398508305915
,theta,small_world_proxy,0.29239130434782606,0.5097222222222221,-0.217330917874396,0.3,0.6,-0.3,0.6,0.15000000000000002,-1.1410170191086977,-0.5415157004830917,1518.5,7.874632798644557e-10,92,72,3.7798237433493875e-09,True,Graph metrics,coh,1.1410170191086977
,theta,clustering,0.29239130434782606,0.5097222222222221,-0.217330917874396,0.3,0.6,-0.3,0.6,0.15000000000000002,-1.1410170191086977,-0.5415157004830917,1518.5,7.874632798644557e-10,92,72,1.5749265597289114e-08,True,Connectivity,coh,1.1410170191086977
,theta,local_efficiency,0.29239130434782606,0.5097222222222221,-0.217330917874396,0.3,0.6,-0.3,0.6,0.15000000000000002,-1.1410170191086977,-0.5415157004830917,1518.5,7.874632798644557e-10,92,72,3.7798237433493875e-09,True,Graph metrics,coh,1.1410170191086977
,alpha,small_world_proxy,0.29782608695652174,0.5128472222222222,-0.2150211352657005,0.3,0.6,-0.3,0.44999999999999996,0.15000000000000002,-1.0903260679862659,-0.5514794685990339,1485.5,2.957618566527961e-10,92,72,2.366094853222369e-09,True,Graph metrics,coh,1.0903260679862659
,alpha,clustering,0.29782608695652174,0.5128472222222222,-0.2150211352657005,0.3,0.6,-0.3,0.44999999999999996,0.15000000000000002,-1.0903260679862659,-0.5514794685990339,1485.5,2.957618566527961e-10,92,72,8.872855699583883e-09,True,Connectivity,coh,1.0903260679862659
,alpha,local_efficiency,0.29782608695652174,0.5128472222222222,-0.2150211352657005,0.3,0.6,-0.3,0.44999999999999996,0.15000000000000002,-1.0903260679862659,-0.5514794685990339,1485.5,2.957618566527961e-10,92,72,2.366094853222369e-09,True,Graph metrics,coh,1.0903260679862659
,alpha,avg_shortest_path,1.3203502415458939,1.0887345679012346,0.2316156736446593,1.2916666666666665,1.0,0.2916666666666665,0.5833333333333335,0.16666666666666674,1.0773695825102219,0.5398550724637681,5100.0,7.422207293897678e-10,92,72,3.7798237433493875e-09,True,Graph metrics,coh,1.0773695825102219
,alpha,global_efficiency,0.363617149758454,0.3173418209876543,0.046275328770799706,0.3555555555555555,0.3,0.055555555555555525,0.12083333333333329,0.033333333333333326,1.0754571752403435,0.5395531400966183,5099.0,7.586151237584509e-10,92,72,3.7798237433493875e-09,True,Graph metrics,coh,1.0754571752403435
parietal,beta,n_bursts,17.59057971014493,11.015625,6.5749547101449295,17.0,10.625,6.375,8.333333333333334,7.0,1.0590044071628244,0.5774456521739131,5224.5,2.3558478426020574e-10,92,72,2.3558478426020573e-09,True,Burst,,1.0590044071628244
frontal,alpha,burst_time_fraction,0.04328470784793006,0.03617428102159939,0.007110426826330667,0.04297499999999995,0.036219662699059824,0.006755337300940127,0.009950694444444436,0.006777160262088536,0.9924468521677667,0.5452898550724639,5118.0,2.1967215737167702e-09,92,72,1.5377051016017392e-08,True,Burst,,0.9924468521677667
parietal,alpha,burst_time_fraction,0.044257191407784904,0.03716224423529349,0.007094947172491414,0.04453541666666662,0.03714928486964662,0.007386131797019996,0.009673611111111098,0.005980194099347566,0.9706297449132827,0.5474033816425121,5125.0,1.9046156341552208e-09,92,72,1.4813677154540608e-08,True,Burst,,0.9706297449132827
occipital,alpha,burst_time_fraction,0.042970362954487626,0.03575138489720723,0.007218978057280397,0.04311527777777774,0.0357158058382156,0.007399471939562141,0.010252430555555567,0.007381721039228233,0.9569124214217034,0.5643115942028984,5181.0,5.967140391889735e-10,92,72,5.221247842903519e-09,True,Burst,,0.9569124214217034
frontal,beta,n_bursts,14.646739130434783,9.68576388888889,4.960975241545894,14.0,9.25,4.75,7.75,5.8125,0.9508778346714858,0.5101147342995169,5001.5,2.1747498813993848e-08,92,72,1.3839317427086995e-07,True,Burst,,0.9508778346714858
