roi,band,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05,feature_block,method,direction,significance,tbi_median_iqr,control_median_iqr,abs_hedges_g
temporal,alpha,n_bursts,55.21557971014494,38.28587962962963,16.929700080515303,55.0,38.5625,16.4375,7.916666666666671,5.875,3.3121893291311526,0.9782608695652173,6552.0,6.921596665882767e-27,92,72,4.845117666117937e-25,True,Burst,,выше при ЧМТ,***,55.000 [7.917],38.562 [5.875],3.3121893291311526
central,alpha,n_bursts,54.18115942028985,37.535300925925924,16.645858494363928,54.0,37.6875,16.3125,8.5,5.15625,2.8480587616731334,0.9690519323671498,6521.5,2.0692784191179115e-26,92,72,7.24247446691269e-25,True,Burst,,выше при ЧМТ,***,54.000 [8.500],37.688 [5.156],2.8480587616731334
frontal,alpha,n_bursts,53.59420289855072,37.070601851851855,16.523601046698865,53.66666666666667,37.375,16.29166666666667,9.333333333333329,6.375,2.6705280552387483,0.9498792270531402,6458.0,1.9374636363310925e-25,92,72,4.5207484847725494e-24,True,Burst,,выше при ЧМТ,***,53.667 [9.333],37.375 [6.375],2.6705280552387483
occipital,alpha,n_bursts,53.48007246376811,36.851273148148145,16.628799315619965,54.58333333333333,37.125,17.45833333333333,7.666666666666664,7.25,2.506344560552958,0.9116847826086956,6331.5,1.4536753587198275e-23,92,72,2.543931877759698e-22,True,Burst,,выше при ЧМТ,***,54.583 [7.667],37.125 [7.250],2.506344560552958
parietal,alpha,n_bursts,53.00181159420289,36.43171296296296,16.57009863123993,54.66666666666667,36.5625,18.10416666666667,9.583333333333329,7.0625,2.4238598104731617,0.9033816425120773,6304.0,3.6489820542943265e-23,92,72,5.108574876012058e-22,True,Burst,,выше при ЧМТ,***,54.667 [9.583],36.562 [7.062],2.4238598104731617
central,alpha,burst_time_fraction,0.042596793666065655,0.03465882136152528,0.007937972304540374,0.04177222222222218,0.03443734211520018,0.007334880107022004,0.008616849415204658,0.006683799063377571,1.2500132054504314,0.6358695652173914,5418.0,3.0241218406053395e-12,92,72,3.528142147372896e-11,True,Burst,,выше при ЧМТ,***,0.042 [0.009],0.034 [0.007],1.2500132054504314
,alpha,local_efficiency,0.3,0.5447916666666666,-0.24479166666666657,0.3,0.6,-0.3,0.6,0.07499999999999996,-1.2687311641311847,-0.5807669082125604,1388.5,1.1281495172821583e-11,92,72,2.70755884147718e-10,True,Graph metrics,plv,ниже при ЧМТ,***,0.300 [0.600],0.600 [0.075],1.2687311641311847
,alpha,small_world_proxy,0.3,0.5447916666666666,-0.24479166666666657,0.3,0.6,-0.3,0.6,0.07499999999999996,-1.2687311641311847,-0.5807669082125604,1388.5,1.1281495172821583e-11,92,72,2.70755884147718e-10,True,Graph metrics,plv,ниже при ЧМТ,***,0.300 [0.600],0.600 [0.075],1.2687311641311847
,alpha,avg_shortest_path,1.3242753623188406,1.0561342592592593,0.2681411030595813,1.3333333333333335,1.0,0.3333333333333335,0.6666666666666667,0.08333333333333326,1.2618736185726251,0.5718599033816425,5206.0,2.4107372888922313e-11,92,72,3.037144518533951e-10,True,Graph metrics,plv,выше при ЧМТ,***,1.333 [0.667],1.000 [0.083],1.2618736185726251
,alpha,global_efficiency,0.3644021739130433,0.31096643518518513,0.05343573872785817,0.36666666666666664,0.3,0.06666666666666665,0.1333333333333333,0.012500000000000011,1.256342018684912,0.5712560386473431,5204.0,2.530953765444959e-11,92,72,3.037144518533951e-10,True,Graph metrics,plv,выше при ЧМТ,***,0.367 [0.133],0.300 [0.013],1.256342018684912
