feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
event_rate_per_min,0.2595108695652174,0.6422582941281102,-0.3827474245628928,0.0,0.208592132505176,-0.208592132505176,0.25,0.7550515607580824,-0.4951986334453045,-0.2960446859903382,2331.5,0.0008116469836290118,92,72,0.008928116819919129,True
event_mean_z_peak,6.492475979562516,7.203285965081494,-0.7108099855189778,6.277143468276066,7.140723627444176,-0.8635801591681105,1.8190591835048284,1.672010658588169,-0.4847687606684501,-0.3551515151515151,798.0,0.0023529835160781506,45,55,0.012941409338429829,True
n_events,1.0380434782608696,1.8096064814814814,-0.7715630032206118,0.0,0.5625,-0.5625,1.0,2.28125,-0.32781872756591723,-0.252566425120773,2475.5,0.004266145098123548,92,72,0.01564253202645301,True
event_mean_active_roi,4.297641062641063,4.019380141204104,0.27826092143695824,4.333333333333333,4.0,0.33333333333333304,0.583333333333333,0.6114035087719296,0.5356039204391265,0.3208080808080809,1634.5,0.005740396064448783,45,55,0.015786089177234154,True
event_mean_line_length,10.966657928470555,13.371672182582456,-2.405014254111901,9.167316818508052,11.542225718912276,-2.3749089004042236,4.8724403480361875,6.178896422364854,-0.2820263468190332,-0.2913131313131313,877.0,0.012621369300022844,45,55,0.027767012460050255,True
event_mean_propagation_ms,97.27007634340968,75.66210949353442,21.607966849875268,88.77777777777777,74.19047619047619,14.587301587301582,34.0,41.81416666666666,0.3972498136381542,0.24888888888888894,1545.5,0.03311847421475685,45,55,0.060717202727054234,False
event_mean_area,0.6661291471428628,0.6694863267245041,-0.0033571795816413896,0.6050373129065723,0.6099720994674698,-0.0049347865608975194,0.26378538693111564,0.30025701179600706,-0.008937816337340919,-0.10868686868686872,1103.0,0.35318681561367493,45,55,0.5550078531072035,False
event_mean_duration_sec,0.13623967501634168,0.1287992754333587,0.007440399582982982,0.125,0.12032,0.004680000000000004,0.048928571428571405,0.044248333333333376,0.12730096184611792,0.03232323232323231,1277.5,0.7843146351977603,45,55,0.9188751253922093,False
event_mean_peak_to_peak,1.8903695409248478e-05,1.9375415955722547e-05,-4.7172054647406895e-07,1.5668180343820687e-05,1.7073211551248125e-05,-1.4050312074274377e-06,1.311529177591327e-05,9.866331989116052e-06,-0.04332432196348783,-0.024646464646464694,1207.0,0.8353410230838266,45,55,0.9188751253922093,False
event_mean_spatial_spread_ratio,0.25862068965517243,0.25862068965517243,0.0,0.2586206896551724,0.2586206896551724,0.0,0.0,0.0,0.0,-0.013737373737373715,1220.5,0.8260991563601506,45,55,0.9188751253922093,False
event_mean_active_channels,15.0,15.0,0.0,15.0,15.0,0.0,0.0,0.0,,0.0,1237.5,1.0,45,55,1.0,False
